product_id,barcode,name,brand,category,unit,quantity
910161001,eurospin:910161001,*ARANCINI MARGHERITA 100g,NO BRAND,HRANA,KG,"0,1"
910161101,eurospin:910161101,*ARANCINI S VRGANJIMA I SIROM 30g,NO BRAND,HRANA,KG,"0,03"
008690001,eurospin:008690001,*ASIAGO TVRDI KRAVLJI SIR 1/2,NO BRAND,HRANA,KG,1
910065401,eurospin:910065401,*BEČKA KOBASICA,NO BRAND,HRANA,KG,1
009620501,eurospin:009620501,*BRIE SIR,NO BRAND,HRANA,KG,1
910076901,eurospin:910076901,*BUĐOLA 1/2 VAK,NO BRAND,HRANA,KG,1
012503701,eurospin:012503701,*CACIOTTA KRAVLJI SIR CHILI PAPRIKA,NO BRAND,HRANA,KG,1
012503801,eurospin:012503801,*CACIOTTA KRAVLJI SIR S MASLINAMA,NO BRAND,HRANA,KG,1
910172601,eurospin:910172601,*CARSKI MIX POVRĆE,NO BRAND,HRANA,KG,1
910074301,eurospin:910074301,*CARSKO MESO PEČENO,NO BRAND,HRANA,KG,1
910110201,eurospin:910110201,*CIKLA SALATA,NO BRAND,HRANA,KG,1
014695201,eurospin:014695201,*CRNE MASLINE PEČENE SUHE,NO BRAND,HRANA,KG,1
014694301,eurospin:014694301,*CRNE MASLINE U SALAMURI,NO BRAND,HRANA,KG,1
910110301,eurospin:910110301,*CRVENA PEČENA PAPRIKA,NO BRAND,HRANA,KG,1
910117801,eurospin:910117801,*CRVENA PEČENA PAPRIKA S VRHNJEM,NO BRAND,HRANA,KG,1
910144401,eurospin:910144401,*DALMATINSKA BUĐOLA,NO BRAND,HRANA,KG,1
910144301,eurospin:910144301,*DALMATINSKA PANCETA,NO BRAND,HRANA,KG,1
910150401,eurospin:910150401,*DALMATINSKA PEČENICA,NO BRAND,HRANA,KG,1
910139801,eurospin:910139801,*DELIKATES KUHANA ŠUNKA IZ KOM.BUTA,NO BRAND,HRANA,KG,1
910181901,eurospin:910181901,*DIMLJENA KRAČICA,NO BRAND,HRANA,KG,1
910000701,eurospin:910000701,*DIMLJENA KUHANA ŠUNKA IZ KOM.BUTA,NO BRAND,HRANA,KG,1
910131301,eurospin:910131301,*DIMLJENA SUHA SLANINA BIJELA,NO BRAND,HRANA,KG,1
910191901,eurospin:910191901,*DIMLJENA VRATINA 1/2 VP,NO BRAND,HRANA,KG,1
910120501,eurospin:910120501,*DIMLJENE SVINJSKE HRSKAVICE VP.,NO BRAND,HRANA,KG,1
910161601,8427298004893,*DIMLJENI OVČJI SIR 200g,NO BRAND,HRANA,KG,"0,2"
910149401,eurospin:910149401,*DIMLJENI POLUTVRDI SIR ALPENSTR.,NO BRAND,HRANA,KG,1
910195301,eurospin:910195301,*DIMLJENI POLUTVRDI SIR DIMAR,NO BRAND,HRANA,KG,1
910025201,eurospin:910025201,*DIMLJENI SIR FIT,NO BRAND,HRANA,KG,1
910025101,eurospin:910025101,*DIMLJENI SIR GAUDA,NO BRAND,HRANA,KG,1
910120801,eurospin:910120801,*DOMAĆA DIMLJ. KOBASICA ZA KUHANJE,NO BRAND,HRANA,KG,1
910166501,eurospin:910166501,*DOMAĆA DIMLJENA SLANINA,NO BRAND,HRANA,KG,1
910028901,eurospin:910028901,*DOMAĆA SUHA KOBASICA,NO BRAND,HRANA,KG,1
910108401,eurospin:910108401,*DOMAĆI JEGER VP.,NO BRAND,HRANA,KG,1
910143801,eurospin:910143801,*DOMAĆI KULEN KVRGAVI,NO BRAND,HRANA,KG,1
910120601,eurospin:910120601,*DOMAĆI SUHI ŠPEK 1/2 VP,NO BRAND,HRANA,KG,1
910153801,eurospin:910153801,*DOMAĆI SVJEŽI ŠTRUKLI 400g,NO BRAND,HRANA,KG,"0,4"
910142301,eurospin:910142301,*DOMAĆI ŠTRUKLI SA SIROM 100g,NO BRAND,HRANA,KG,"0,1"
910119701,eurospin:910119701,*DOMAĆI ŠVARGL SLAVONSKI,NO BRAND,HRANA,KG,1
910153001,eurospin:910153001,*FAŠINARAC I KRUMPIR VRHNJE 650g,NO BRAND,HRANA,KG,"0,65"
910153101,eurospin:910153101,*FAŠINARAC I MLADI KRUMPIR 650g,NO BRAND,HRANA,KG,"0,65"
910129201,eurospin:910129201,*FAŠIRANAC 95g,NO BRAND,HRANA,KG,"0,095"
018096001,8006013986227,*GIRASOLI SA SIROM 250g,NO BRAND,HRANA,KG,"0,25"
910126401,eurospin:910126401,*GLAVA OD PORCHETTE,NO BRAND,HRANA,KG,1
011146201,eurospin:011146201,*GORGONZOLA DOLCE SIR,NO BRAND,HRANA,KG,1
910188101,5902431276809,*GOUDA SIR S TARTUFIMA 130g,NO BRAND,HRANA,KG,"0,13"
910040901,eurospin:910040901,*GRAH VARIVO,NO BRAND,HRANA,KG,1
910154101,eurospin:910154101,*GRAH VARIVO 820g,NO BRAND,HRANA,KG,"0,82"
013724901,eurospin:013724901,*GRANA PADANO 16 MJESECI,NO BRAND,HRANA,KG,1
006112701,eurospin:006112701,*GRANA PADANO 9 MJESECI,NO BRAND,HRANA,KG,1
910073901,eurospin:910073901,*GRILL PILEĆI FILE,NO BRAND,HRANA,KG,1
910110001,eurospin:910110001,*GRILL PILEĆI KRILNI BATAK CHILI,NO BRAND,HRANA,KG,1
910129301,eurospin:910129301,*GRČKA ROLADA 110g,NO BRAND,HRANA,KG,"0,11"
910152901,eurospin:910152901,*GRČKA ROLADA I KRUMPIR VRHNJE 680g,NO BRAND,HRANA,KG,"0,68"
910138601,eurospin:910138601,*IBERICO MIJEŠANI TVRDI SIR,NO BRAND,HRANA,KG,1
910188801,8436585772797,*IBERICO SIR RUŽMARINOM 200g,NO BRAND,HRANA,KG,"0,2"
910015201,eurospin:910015201,*ISTARSKA PANCETA PREMIUM,NO BRAND,HRANA,KG,1
