store_id,type,address,city,zipcode
6130,supermarket,Ulica 4 Gardijske Brigade 69,Zadar,
5630,hipermarket,Antuna Soljana 43,Zagreb,
6830,supermarket,Varteksova Ulica 2,Varazdin,
1630,hipermarket,114  Brigade 6,Split,
2030,hipermarket,Andrije Hebranga 2,Zadar,
5030,supermarket,Zagrebacka Ulica 67,Dugo Selo,
7330,supermarket,Ulica Josipa Broza Tita 25,Zabok,
3830,supermarket,Ulica Spine-Via Spine 2,Rovinj,
4130,supermarket,Stjepana Ivicevica 66,Makarska,
2530,supermarket,Vukovarska Ulica 10,Sibenik,
3430,hipermarket,Bistricka 6,Zagreb,
7430,supermarket,Ulica Sima Savinovica 2,Cibaca,
7830,supermarket,Ulica Ivana Gundulica 16,Ivanec,
5230,hipermarket,Jaruscica 6,Zagreb Blato,
3130,hipermarket,Josipa Reihl-Kira 40,Osijek,
4230,hipermarket,Kneza Trpimira 301,Trogir,
5930,hipermarket,Jablanska Ulica Br 80,Zagreb,
2630,hipermarket,Jurja Zakna 3,Pula,
2330,hipermarket,Koprivnicka 17,Varazdin,
3230,hipermarket,Kneza Lj Posavskog 32,Kutina,
4430,hipermarket,Julija Knifera 1,Zagreb,
1430,hipermarket,Lapovacka 15,Vinkovci,
1930,hipermarket,Kneza Branimira 119,Zagreb,
3330,hipermarket,Rusevje 1,Zapresic,
7130,hipermarket,Planinska 2F,Zagreb,
1030,hipermarket,Trg Hrvatskih Branitelja 5,Karlovac,
2930,hipermarket,Sajmiste 2,Virovitica,
6330,hipermarket,Osjecka 39,Rijeka,
2730,hipermarket,Njemacka Ulica 40 40,Pozega,
4630,hipermarket,Poljicka Cesta 34,Split,
2830,hipermarket,Naselje Slavonija 2 Kc Br 5,Slavonski Brod,
6030,hipermarket,Novigradska Ulica 22,Umag,
5130,supermarket,Mate Vlasica 55,Porec,
1130,supermarket,Obrtnicka Ulica 1,Cakovec,
6730,supermarket,Put Gaceleza 1D,Vodice,
1330,supermarket,Franje Rackog 95,Dakovo,
4330,supermarket,Miljenka Buljana 5,Sinj,
2230,supermarket,Ljudevita Posavskog 51,Velika Gorica,
6530,supermarket,Magistralna Ulica 1,Biograd,
2130,supermarket,Maksimilijana Benkovica 34,Nova Gradiska,
4730,supermarket,Priljevo 209,Vukovar,
1530,hipermarket,Zagrebacka 49A,Sisak,
3630,hipermarket,Vile Velebita 6,Zagreb,
1730,hipermarket,Zametska  44,Rijeka,
5830,hipermarket,Zagrebacka Cesta 136,Zagreb,
1230,hipermarket,Ul  Ivana Cesmickog 26,Koprivnica,
1830,hipermarket,Ul  Karela Zahradnika 16A,Zagreb,
3530,hipermarket,Ulica Grada Wirgesa 2 G,Samobor,
3030,hipermarket,Vlahe Paljetka 4,Bjelovar,
6230,supermarket,Barutanski Jarak 54,Zagreb,
