product_id,barcode,name,brand,category,unit,quantity
90735088,3850334073730,REGENER OLEA OŠTEĆENA KOSA 300ml,OLEA,KOZMETIKA,ko,0.30 l
90362337,3850334151315,KREMA NOĆ OLEA REGENER 50ml,OLEA,KOZMETIKA,ko,0.05 l
90360460,3850334153722,MLIJEKO OLEA SPF15 200ml,OLEA,KOZMETIKA,ko,0.20 l
06510032,3850334567451,SAPUN TEK K PLUS OLEA CO/VA 500ml,OLEA,KOZMETIKA,ko,0.50 l
90735090,3850334099884,GEL TUŠ OLEA MEDITERAN LAVAN 250ml,OLEA,KOZMETIKA,ko,0.25 l
90528306,8605002353233,BLAZINICE OLEA 140/1,OLEA,TOALETNE POTREPŠTINE,ko,140.06 ko
90360508,3850334153852,MLIJEKO OLEA SPF30 SPRAY 200 ml,OLEA,KOZMETIKA,ko,0.20 l
90360482,3850334153791,MLIJEKO OLEA POSLIJE SUN 200ml,OLEA,KOZMETIKA,ko,0.20 l
06584117,3850334036384,LIP BALM K PLUS OLEA SOFT 4.5g,OLEA,KOZMETIKA,ko,0.01 kg
06524213,3850334103130,GEL TUŠ K PLUS OLEA KOK/VAN 300ml,OLEA,KOZMETIKA,ko,0.30 l
90735115,3850334099860,KREMA RUKE OLEA MEDIT SMILJE 75ml,OLEA,KOZMETIKA,ko,0.08 l
90735113,3850334100122,KREMA OLEA UNIVERZALNA 300ml,OLEA,KOZMETIKA,ko,0.30 l
90735107,3850334100030,KREMA TIJ OLEA MEDITER LAVAN 250ml,OLEA,KOZMETIKA,ko,0.25 l
90518246,8605002353219,ŠTAPIĆI ZA UŠI BIOR OLEA REFIL 160/1,OLEA,TOALETNE POTREPŠTINE,ko,160.00 ko
90360515,3850334153890,MLIJEKO OLEA DJEČJ SPF50 200ml,OLEA,KOZMETIKA,ko,0.20 l
90360488,3850334153814,ULJE OLEA SPF6 SPRAY 200ml,OLEA,KOZMETIKA,ko,0.20 l
90249940,3850334579454,DN UL OLEA LARGE 50/1,OLEA,TOALETNE POTREPŠTINE,ko,50.00 ko
90044411,3850334203229,LIP BALM K PLUS OLEA SHINE 4.8g,OLEA,KOZMETIKA,ko,0.01 kg
90735108,3850334100061,KREMA RUKE OLEA MEDIT LAVANDA 75ml,OLEA,KOZMETIKA,ko,0.08 l
90735082,3850334073310,ŠAMPON OLEA 7 TRAVA 500ml,OLEA,KOZMETIKA,ko,0.50 l
90362333,3850334150479,KREMA DN OLEA HYDRATING 50ml,OLEA,KOZMETIKA,ko,0.05 l
06514017,3850334567543,SAPUN TEK K PLUS OLEA ALOE/JOG 500ml,OLEA,KOZMETIKA,ko,0.50 l
90824657,3850334428554,VATA OLEA CIK CAK 100 g,OLEA,TOALETNE POTREPŠTINE,ko,0.10 kg
90735084,3850334073341,ŠAMPON OLEA VOĆE I VITAMIN 500ml,OLEA,KOZMETIKA,ko,0.50 l
90735079,3850334073402,ŠAMPON OLEA OBOJANA KOSA 300ml,OLEA,KOZMETIKA,ko,0.30 l
90382174,3850334520128,VLAŽNE MARAMICE UNIVERZALNE OLEA 20/1,OLEA,TOALETNE POTREPŠTINE,ko,20.00 ko
