store_id,type,address,city,zipcode
1730,supermarket,Veliko Brdo 1A,Makarska,21300
1415,supermarket,Ulica Grada Lipika 15,Donji Kneginec,42204
0680,supermarket,Ulica Verudella 11,Pula,52100
1232,supermarket,Trg Petra Preradovića 6,Zagreb,10000
0901,supermarket,Željeznička Ulica 22,Belišće,31551
0454,supermarket,Zagrebačka 18,Gospić,53000
3262,supermarket,Ulica Kneza Domagoja 5,Koprivnica,48000
1601,supermarket,Čiponjac 1 Br.2,Novalja,53291
3282,supermarket,Trg Sv. Jurja 1,Korenica,53230
0913,supermarket,Veliki Kraj 77,Županja,32270
3254,supermarket,Ulica Josipa Broza - Tita 88A,Mursko Središće,40315
0760,supermarket,Vukovarska 4,Sinj,21230
0892,supermarket,Trg Marka Miličića 8,Hvar,21450
3299,supermarket,Vladimira Nazora 9,Otok,32252
3202,supermarket,Zagrebačka Avenija 94,Zagreb,10000
1830,supermarket,Ulica Hrvatske Republike 21,Osijek,31000
0440,supermarket,Turinina 11,Zagreb,10000
0204,supermarket,Žitna 1A,Ivanić Grad,10310
0342,supermarket,Ulica Giovannija Dapiran 5A,Rovinj,52210
0323,supermarket,Trg Lovre Matačića 4,Sesvete,10360
0458,supermarket,Trg Maršala Tita 12A,Matulji,51211
3221,supermarket,Trg Milana Šuflaja 1,Karlovac,47000
0222,supermarket,Ul. Grada Vukovara 275,Zagreb,10000
0720,supermarket,Zagrebačka 10,Varaždin,42000
0133,supermarket,Ulica Luke 54,Murter,22243
1200,supermarket,Zagrebačka 115,Vrbovec,10340
0185,supermarket,Vladimira Nazora 58,Zlatar Bistrica,49247
1420,supermarket,V. Nazora 5,Đurđevac,48350
0333,supermarket,Trg Žrtava Fašizma 18,Zaprešić,10290
1435,supermarket,Ulica Kralja Tomislava 56A,Križevci,48260
0613,supermarket,Valkanela 10,Vrsar,52450
0530,supermarket,Zrinsko - Frankopanska 5,Čakovec,40000
0444,supermarket,Trg Vladimira Nazora 1,Ivanić Grad,10310
0772,supermarket,Trg Stjepana Radića 3,Gospić,53000
0732,supermarket,Trg Republike 6,Čakovec,40000
0888,supermarket,Vrgorački Put 1,Makarska,21300
1733,supermarket,Vrboran 39,Split,21000
0013,supermarket,Virski Put 136,Vir,23234
0803,supermarket,Velimira Škorpika 23,Šibenik,22000
3201,supermarket,Ulica Bleiburških Žrtava 19451,Samobor,10430
3251,supermarket,Zagrebačka 87,Čakovec,40000
1231,supermarket,Velikopoljska 12,Zagreb,10010
0328,supermarket,Ulica Luje Adamovića 3A,Rovinj,52210
0910,supermarket,V.Nazora 6,Đakovo,31400
0787,supermarket,Vladimira Nazora 2G,Dubrovnik,20000
1425,supermarket,Trg Kralja Tomislava 20A,Pitomača,33405
0451,supermarket,Ul. Žrtava Fašizma 11A,Lovran,51415
3222,supermarket,Trg Kralja Tomislava 17,Daruvar,43500
1268,supermarket,Zdeslava Turića 4A,Zagreb,10000
1800,supermarket,Ulica Grada Vukovara 5,Našice,31500
3224,supermarket,Trg Braće Radić 2,Ozalj,47280
3204,supermarket,Slavka Kolara 2,Velika Gorica,10410
1259,supermarket,Strojarska 24,Zagreb,10000
1513,supermarket,Palit 134,Rab,51280
1312,supermarket,Maksimilijana Benkovića 24,Nova Gradiška,35400
1240,supermarket,Samoborska Cesta 102,Zagreb,10090
0640,supermarket,Ruđera Boškovića 25,Varaždin,42000
0915,supermarket,Trg Ante Starčevića 10,Osijek,31000
0181,supermarket,Trg Hrvatskog Preporoda 7,Oriovac,35250
0715,supermarket,Splitska 27,Metković,20350
0115,supermarket,Svilajska 20,Šibenik,22000
0906,supermarket,Strossmayerova 242,Osijek,31000
0700,supermarket,Sveti Martin 6,Vrsar,52450
1410,supermarket,Osječka 6,Virovitica,33000
0638,supermarket,Muntriljska 1A,Pazin,52000
0903,supermarket,Sjenjak 133,Osijek,31000
0590,supermarket,Svačićeva 2-4,Split,21000
3220,supermarket,Radnička Ulica 2 A,Novska,44330
3203,supermarket,Tomislavova 11,Zagreb,10000
0606,supermarket,Trg A. Starčevića 7,Zagreb,10000
3292,supermarket,Splitska 1,Metković,20350
0284,supermarket,Podštore 1,Delnice,51300
0865,supermarket,Mala Raduča 20,Primošten,22202
0159,supermarket,Trg A. Starčevića 5,Sv. Ivan Zelina,10380
0904,supermarket,Republike 1,Beli Manastir,31300
0005,supermarket,Meštrovićev Trg 1,Zagreb,10000
1625,supermarket,Magistrala 67,Vodice,22211
0521,supermarket,Matice Hrvatske 14 A,Bjelovar,43000
0445,supermarket,Oborovska 22,Dugo Selo,10370
0536,supermarket,Trg A. Starčevića 1,Knin,22300
1271,supermarket,Puškarićeva 15 Lučko,Zagreb,10250
0463,supermarket,Rubeši 78 A,Rubeši,51215
0905,supermarket,Osječka 1,Valpovo,31550
0018,supermarket,Mirka Deanovića 19,Zagreb,10000
1528,supermarket,Tomasinijeva Ul.26,Pula,52100
0602,supermarket,Ozaljska 148,Zagreb,10000
1411,supermarket,Možđenec 1K,Novi Marof,42220
0738,supermarket,Prilaz Dr. Franje Tuđmana 9A,Zabok,49210
0272,supermarket,Put Stinica 1,Split,21000
3206,supermarket,Selska Cesta 144,Zagreb,10000
0734,supermarket,Otok Oštarijski 51D,Ogulin,47300
0604,supermarket,Trešnjevački Trg 1,Zagreb,10000
0206,supermarket,Stjepana Radića 27,Krk,51500
1405,supermarket,Trg 1. Hrv. Sveučilišta 4,Lepoglava,42250
0354,supermarket,Tn V. Rubin,Rovinj,52210
0736,supermarket,Trg Dr. Franje Tuđmana 8,Virovitica,33000
0908,supermarket,Opatijska 26F,Osijek,31000
