product_id,barcode,name,brand,category,unit,quantity
01251,4067700015020,JAGERMEISTER 0.7L,JAGERMEISTER,PIĆA,L,0.70
01255,4067700015013,JAGERMEISTER 1/1,JAGERMEISTER,PIĆA,L,1.00
01257,5099873045367,JACK DANIEL S 1/1,JACK DANIEL'S,PIĆA,L,1.00
01473,8001110017058,AMARO 18 ISOLABELLA 1L,EUROLAB INTERNACIONAL GRUP D.O.O.,PIĆA,L,1.00
01552,3850112121097,BADEL ST.ŠLJIVOVICA 40% 1.0/6,BADEL 1862 d.d.,PIĆA,L,1.00
01559,3850112110015,LAVOV GORKI 1/1,BADEL 1862 d.d.,PIĆA,L,1.00
01581,3850112141217,BADEL PRIMA BRAND 36% 0.5/12,BADEL 1862 d.d.,PIĆA,L,0.50
01582,3850112141194,BADEL PRIMA BRAND  1L,BADEL 1862 d.d.,PIĆA,L,1.00
01624,3850112121110,"BADEL ST ŠLJIVOVICA 0,5",BADEL 1862 d.d.,PIĆA,L,0.50
01682,3850112144027,TROJKA VODKA 1/1 SEGESTICA,BADEL 1862 d.d.,PIĆA,L,1.00
02073,3850112110169,SVATOVSKI KRUŠKOVAC 1/1,BADEL 1862 d.d.,PIĆA,L,1.00
02080,3850112110039,PELINKOVAC GORKI 1/1 BADEL,BADEL 1862 d.d.,PIĆA,L,1.00
02709,3859888129849,TRAVARICA ŠIBENIK 1/1,BADEL 1862 d.d.,PIĆA,L,1.00
03642,1210000100504,SOUTHERN COMFORT 1/1,PPD CROATIA D.O.O.,PIĆA,L,1.00
03822,3245995960015,HENNESSY V.S.GB 0.70L,VALENTIĆ d.o.o,PIĆA,L,0.70
04940,8000440112389,VODKA KEGLEVICH 0.7 BRESKVA,STOCK D.O.O.,PIĆA,L,0.70
05226,8712436102839,PINA COLADA 0.7L,VALENTIĆ d.o.o,PIĆA,L,0.70
05635,5010677925006,MARTINI VERMOUTH BIANCO 1L,MARTINI,PIĆA,L,1.00
09953,3850112110176,MENTOL 1/1 BADEL 1862,BADEL 1862 d.d.,PIĆA,L,1.00
131939,5099873089798,"JACK DANIEL S 0,70L",JACK DANIEL'S,PIĆA,L,0.70
13317,4062400543125,"TEQUILA SIERRA REPOSADO 0,7L",BADEL 1862 d.d.,PIĆA,L,0.70
137994,3859890211051,VILJAMOVKA 0.7+2 ČAŠE STUDIO G3,WILLIAMS RONER,PIĆA,L,0.70
15143,3850158406004,ORAHOVAC 1/1 MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
15146,3850158404703,MARASCHINO 1/1 NEOPLETENI,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
15148,3850158403607,KRUŠKOVAC 1/1 MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
151648,5010284100025,MALIBU 1L,VALENTIĆ d.o.o,PIĆA,L,1.00
171957,8000440112372,VODKA KEGLEVICH CLASSIC 1L,FIBIS D.O.O.,PIĆA,L,1.00
172313,8000440600022,STOCK 84 0.7L+2 ČAŠE,STOCK D.O.O.,PIĆA,L,0.70
18311,3830033590066,"JAGERMEISTER 0,7 SA 2 ČAŠE",JAGERMEISTER,PIĆA,L,0.70
22778,3830000650366,PELINKOVAC 1/1 PETOVIA HERMO,HERMO DOO,PIĆA,L,1.00
236499,3850112110572,PELINKOVAC ANTIQUE 35% 0.7L,BADEL 1862 d.d.,PIĆA,L,0.70
236501,3850112110596,PELINKOVAC ANTIQUE 35% 0.7L LUX,BADEL 1862 d.d.,PIĆA,L,0.70
238657,5011007003227,JAMESON 1/1,VALENTIĆ d.o.o,PIĆA,L,1.00
24571,4000152004075,DALMATINO VODKA 0.7L,DALMATINO,PIĆA,L,0.70
250902,3850112122193,"TRAVARICA BADEL 37,5% 1L",BADEL 1862 d.d.,PIĆA,L,1.00
251937,3850112122186,KOMOVICA BADEL 1L,BADEL 1862 d.d.,PIĆA,L,1.00
279058,3850112110664,MEDICA BADEL 1L,BADEL 1862 d.d.,PIĆA,L,1.00
28402,3850158201531,ROOM 35% 0.5L MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,0.50
287448,6412709021776,VODKA FINLANDIA 0.70L,COCA COLA HBC HRVATSKA D.O.O.,PIĆA,L,0.70
303001,3850112141323,"BADEL PRIMA BRAND 35% 0,7/6",BADEL 1862 d.d.,PIĆA,L,0.70
325508,5010327605005,OLD SMUGGLER 40% 0.7L,PPD CROATIA D.O.O.,PIĆA,L,0.07
331755,3850158201555,ROOM 35% 1L MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
334021,3850158200879,GIN EMPIRE 37.5% 1L,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
334597,3850112110756,"PELINKOVAC GORKI 0,7 BADEL",BADEL 1862 d.d.,PIĆA,L,0.70
335220,3850158400002,AMARO ZARA 1L MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
335221,3850158409005,"VODKA COSMOPOLITAN 37,5 1L MARASKA",MARASKA,PIĆA,L,1.00
341797,3850158202255,MEDICA 1L MARASKA,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
342756,3850158406752,PELINKOVAC 1/1 LAGANA,MARASKA,PIĆA,L,1.00
346211,5099873038758,"JACK DANIELS 0,7 GANTLEMAN",JACK DANIEL'S,PIĆA,L,0.70
35695,8001110016303,AMARETTO DISARONNO 0.7,EUROLAB INTERNACIONAL GRUP D.O.O.,PIĆA,L,0.70
375743,5099873046067,JACK DANIELS 40% 0.5L,JACK DANIEL'S,PIĆA,L,0.50
385121,3850112142795,"VODKA SVAROG 0,7L BADEL",BADEL 1862 d.d.,PIĆA,L,0.70
408061,3850158408220,BOROVNICHKA LIKER 24% 1L,AWTINTERNATIONAL D.O.O. ZAGREB,PIĆA,L,1.00
411108,3850112110930,PELINKOVAC ORANGE 1L,BADEL 1862 d.d.,PIĆA,L,1.00
412012,3830000160155,"BOROVNIČEVEC 0,70L 20% DANA",ORBICO d.o.o.,PIĆA,L,0.70
412256,5011013100156,"BAILEYS 17% 0,7L",PPD CROATIA D.O.O.,PIĆA,L,0.70
412696,8000440396390,"STOCK 84 0,7L",STOCK D.O.O.,PIĆA,L,0.70
430432,5099873001370,"JACK DANIELS HONEY 0,7",JACK DANIEL'S,PIĆA,L,0.70
431868,5000267014203,"JOHNNIE WALKER RED LABEL 0,7L",PPD CROATIA D.O.O.,PIĆA,L,0.70
433178,3147690051206,LABEL 5 WHISKY SCOTCH WHISKY,BADEL 1862 d.d.,PIĆA,L,0.70
47423,5010677935005,MARTINI VERMOUTH DRY 1/1**,MARTINI,PIĆA,L,1.00
