store_id,type,address,city,zipcode
PJPJ87,trgovina,Gospodarska 3,Varazdin,
PJPJ93,trgovina,Nikole Tesle 18,Krizevci,
PJPJ8B,trgovina,Trg Kralja Petra Kresimira Iv 1,Velika Gorica,
PJPJ64,trgovina,Sportska 4,Cakovec,
PJPJ7B,trgovina,Gospodarska 3,Varazdin,
PJPJ46,trgovina,Vukovarska 3 A,Virovitica,
PJPJ75,trgovina,Trg Hrvatskih Branitelja 252,Bjelovar,
PJPJ86,trgovina,Tekstilna 1 A,Mursko Sredisce,
PJPJ58,trgovina,Ko Naselje 1 C,Ivanec,
PJPJ48,trgovina,Zagrebacka 48,Vrbovec,
PJPJ59,trgovina,Dure Basariceka 16 A,Durdevac,
PJPJ8A,trgovina,Senjska Ulica 118,Karlovac,
PJPJ06,trgovina,Trg J.J.Strossmayera 8,Krizevci,
PJPJ89,trgovina,Franje Vidovica 59 B,Cazma,
PJPJ88,trgovina,Trg E. Kumicica 11,Koprivnica,
PJPJ95,trgovina,Nikole Tesle 18,Krizevci,
PJPJ73,trgovina,Zagrebacka 49,Sisak,
PJPJ77,trgovina,Bobovje 52 C,Krapina,
PJPJ41,trgovina,Nikole Tesle 12 B,Sisak,
PJPJ50,trgovina,Pakracka Ulica 1,Bjelovar,
PJPJ40,trgovina,Ivana Cesmickog 15,Koprivnica,
PJPJ60,trgovina,Prilaz Janka Tomica 1,Zabok,
PJPJ76,trgovina,Nikole Subica Zrinskog Bb,Grubisno Polje,
PJPJ54,trgovina,Sisacka Ulica 14,Kutina,
PJPJ79,trgovina,Ivana Gundulica 14,Petrinja,
PJPJ69,trgovina,Ivana Gundulica 1 B,Pakrac,
PJPJ74,trgovina,Ska 38 Jalzabet,Varazdin,
PJPJ43,trgovina,Industrijska 7,Slatina,
PJPJ44,trgovina,Pavla Radica 46 A,Pozega,
PJPJ90,trgovina,Ii Savski Odvojak 1,Dugo Selo,
PJPJ78,trgovina,Krste Frankopana 35,Daruvar,
PJPJ42,trgovina,Petra Preradovica 2,Pitomaca,
PJPJ62,trgovina,Zrinskih Bb,Prelog,
