product_id,barcode,name,brand,category,unit,quantity
0000004,4304493258693,Mineralna voda negazirana,Saguaro,Piće,"1,5l",1.5
0000007,4056489796367,Mineralna voda gazirana,Saguaro,Piće,"1,5l",1.5
0000011,7622300570293,TUC Krekeri SK1,,Hrana,100g,0.1
0000017,8001841263908,Always Ultra higijenski ulošci BA,,Proizvodi za kućanstvo,"9 komada, 10 komada, 14 komada",0.058
0000084,8001841375557,Lenor Omekšivač 60 pranja Sensitiv,,Sredstva za čišćenje,"1,8l",1.8
0000087,8001841375885,Lenor Omekšivač G. Orchid 48 pranja,,Sredstva za čišćenje,"1,42l",1.42
0000088,8001090727015,Ariel Pods Color 35 Kom.,,Sredstva za čišćenje,35komad,0.87
0000096,8445290619228,Felix Fantastic Hra. za mačke losos,Nestlé,Proizvodi za kućanstvo,8x85g,0.68
0000126,8445290444288,Felix Hrana za mačke pilet.&povrće,Nestlé,Proizvodi za kućanstvo,950g,0.95
0000131,8715700421483,Heinz ketchup Top Up blagi,,Hrana,875ml,0.875
0000149,9000101308907,Bref WC Power Active Lemone,Henkel,Sredstva za čišćenje,4x50g,0.2
0000152,7613036919166,Purina One hrana za pse puretina,Nestlé,Proizvodi za kućanstvo,4x100g,0.4
0000174,7613035800908,Friskies Hrana za pse govedina,Nestlé,Proizvodi za kućanstvo,4x100g,0.4
0000331,9000101576955,Perwoll Tekući deter. Color 73pr.,Henkel,Sredstva za čišćenje,"4,015l",4.12
0000347,5998749104392,Pedigree Pseće poslastice sort SK2,Mars,Proizvodi za kućanstvo,"123g,200g,77g",0.133
0000373,8700216090285,Gillette Mach3 sport brijač+patrone,,Kozmetika,1komad,0.039
0000374,8700216450294,Always Ultra Super ulošci 48 kom,,Proizvodi za kućanstvo,48 komada,0.236
0000413,5411188130550,Alpro napitak Barista zob,,Hrana,1l,1.023
0000414,5411188129899,Alpro napitak Barista Badem,,Hrana,1l,1.023
0000421,5060896622798,Monster Energy Drink Monarch,Coca-Cola,Piće,"0,5l",0.5
0000443,3856021303302,Chio Tip Top Cubics,,Hrana,100g,0.1
0000453,9000101590272,Silan Omekšivač Sensitive 76 pranja,,Sredstva za čišćenje,"1,672l",1.672
0000454,5998710960798,Nestle Nesquik,,Piće,800g,0.8
