store_id,type,address,city,zipcode
131,supermarket,Crna Rika 7,Ploče,20340
133,supermarket,Glavina Donja 346,Imotski,21260
136,supermarket,4. Gardijske Brigade 42,Knin,22300
142,supermarket,Benka Benkovića 17,Zadar,23000
145,supermarket,Tomislava Macana 7,Dubrovnik,20000
147,supermarket,Labinska Ulica 2 A,Pula,52100
154,supermarket,Cesta Dr. Franje Tuđmana 346,Kaštela,21212
156,supermarket,Benkovačka Cesta 2,Zadar,23000
157,supermarket,Lomošćanska Cesta 24,Ogulin,47300
158,supermarket,Velimira Škorpika 25,Zagreb,10000
159,supermarket,Braće Božić 4 A,Rovinj,52210
166,supermarket,Put Gaćeleza 3 A,Vodice,22211
169,supermarket,Kralja Zvonimira 4,Otočac,53220
181,supermarket,Plano-Aerodrom 1 Pr,Trogir,21220
184,supermarket,Jadranska Magistrala 1A,Biograd Na Moru,23210
187,supermarket,43. Istarske Divizije 11A,Pazin,52000
188,supermarket,Velimira Škorpika 10,Šibenik,22000
193,supermarket,Ulica Europske Zajednice 2,Makarska,21300
195,supermarket,348,Kukuljanovo,51227
197,supermarket,Dubrava 33,Zagreb,10000
199,supermarket,Žedno - Drage 15,Supetar,21400
200,supermarket,Ulica Proštinske Bune 20,Pula,52100
205,supermarket,Omladinska 1   A,Mali Lošinj,51550
206,supermarket,Kvarnerska Cesta 53,Matulji,51211
207,supermarket,Bana Josipa Jelačića 19,Šibenik,22000
208,supermarket,Mel 1 A,Novi Vinodolski,51250
213,supermarket,Ulica J. J. Strossmayera 350,Osijek,31000
214,supermarket,Lujzinska Cesta 40,Delnice,51300
217,supermarket,Lastovska Ulica 42,Zagreb,10000
227,supermarket,Munida 3 C,Medulin,52203
229,supermarket,Vršanska 18 A,Krk,51500
230,supermarket,Kralja Tomislava 109 C,Crikvenica,51260
239,supermarket,Ulica Poduzetnika 3,Umag-Umago,52470
248,supermarket,Huzjanova Ulica 4,Zagreb,10090
249,supermarket,Kralja Držislava 24,Split,21000
251,supermarket,Mate Vlašića 48,Poreč,52440
255,supermarket,Kobiljačka Cesta 54,Zagreb,10360
259,supermarket,Sv. Leopolda Mandića 17,Dugopolje,21204
266,supermarket,Ulica Pušća 150,Omišalj,51511
113,supermarket,Budačka Ulica 22,Gospić,53000
120,supermarket,Ulica Splitska 57 C,Metković,20350
124,supermarket,Zelenice 41,Labin,52220
125,supermarket,Fra Pavla Vučkovića 17,Sinj,21230
127,supermarket,Hektorovićeva 38 C,Solin,21210
130,supermarket,Put Lore 4,Split,21000
