store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
S18,31269,2.76,8.76,2.76,2.76,
S18,266060,88.37,8.77,88.37,88.37,
S18,93860,1.29,5.73,1.29,1.29,
S18,238677,4.62,26.40,4.62,4.62,
S18,266096,27.72,26.40,27.72,27.72,
S18,263340,3.36,6.59,3.36,3.36,3.36
S18,149144,5.06,3.12,5.06,5.06,
S18,260235,30.38,3.13,30.38,30.38,
S18,149145,1.39,4.34,1.39,1.39,
S18,260588,19.43,4.34,19.43,19.43,
S18,186068,2.83,3.82,2.83,2.83,
S18,260243,22.60,3.82,22.60,22.60,
S18,238676,6.03,20.10,6.03,6.03,
S18,263478,2.94,5.55,2.94,2.94,
S18,263479,4.14,2.86,4.14,4.14,
S18,182048,1.81,7.24,1.81,1.81,
S18,266049,14.45,7.23,14.45,14.45,
S18,182049,1.91,6.37,1.91,1.91,
S18,260375,13.38,6.37,13.38,13.38,
S18,182050,1.91,6.37,1.91,1.91,
S18,182051,1.94,6.47,1.94,1.94,
S18,266050,15.54,6.48,15.54,15.54,
S18,261874,2.03,4.51,2.03,2.03,
S18,261875,2.40,4.80,2.40,2.23,
S18,2780,2.04,4.08,2.04,2.04,
S18,260469,16.30,4.08,16.30,16.30,
S18,169283,2.15,5.38,2.15,2.15,
S18,180317,2.73,3.64,2.73,2.73,
S18,260372,19.11,3.64,19.11,19.11,
S18,184188,2.57,5.14,2.57,2.57,
S18,266107,20.58,5.15,20.58,20.58,
S18,210654,2.31,5.78,2.31,2.31,
S18,210656,3.29,6.58,3.29,3.29,
S18,260577,19.72,6.57,19.72,19.72,
S18,229175,2.34,9.36,2.34,2.34,
S18,238675,4.20,14.00,4.20,4.20,
S18,246428,1.14,2.28,1.14,1.14,
S18,246850,9.16,2.29,9.16,9.16,
S18,246429,2.00,2.67,2.00,2.00,
S18,246851,11.97,2.66,11.97,11.97,
S18,271479,6.05,6.05,6.05,6.05,
S18,265506,5.02,2.99,5.02,5.02,
S18,265507,2.73,3.25,2.73,2.73,
S18,265508,2.73,3.03,2.73,2.73,
S18,265509,3.12,3.47,3.12,3.12,
S18,265510,3.15,3.75,3.15,3.15,
S18,265511,2.73,3.03,2.73,2.73,
S18,229173,4.21,17.54,4.21,4.21,
S18,266085,21.05,17.54,21.05,21.05,
S18,229174,3.85,19.25,3.85,3.85,
S18,4360,3.56,14.24,3.56,3.56,
S18,182144,12.17,12.17,12.17,12.17,
S18,226395,16.79,16.79,16.79,16.79,
S18,227971,2.99,11.96,2.99,2.99,
S18,260584,119.60,11.96,119.60,119.60,
S18,257319,15.74,15.74,15.74,15.74,
S18,269381,11.12,11.12,11.12,11.12,
S18,269383,2.89,11.56,2.89,2.89,
S18,267270,11.54,14.43,11.54,11.54,
S18,20882,3.36,26.88,3.36,3.24,
S18,26791,26.90,26.90,26.90,25.90,
S18,213134,9.49,10.32,9.49,9.49,
S18,199451,0.68,2.72,0.68,0.68,
S18,226903,1.04,4.16,1.04,1.04,
S18,226904,41.58,4.16,41.58,41.58,
S18,227415,1.94,3.88,1.94,1.94,
S18,227416,53.55,3.57,53.55,53.55,
S18,249096,12.59,6.30,12.59,12.59,
S18,261365,2.09,5.23,2.09,2.09,
S18,199450,1.25,2.50,1.25,1.25,
S18,260586,29.99,2.50,29.99,29.99,29.99
S18,266965,19.99,2.50,19.99,19.99,
S18,42721,50.27,2.51,50.27,50.27,
S18,42733,52.49,2.62,52.49,52.49,
S18,226232,24.05,2.41,24.05,24.05,
S18,97733,2.06,1.03,2.06,2.06,
S18,263035,12.34,1.03,12.34,12.34,
S18,214677,659.30,0.98,659.30,659.30,659.30
S18,217413,1.07,1.07,1.07,1.07,
S18,217960,12.85,1.07,12.85,12.85,
S18,218366,1.14,1.14,1.14,1.14,
S18,216010,13.73,1.14,13.73,13.73,
S18,226196,8.15,1.02,8.15,8.15,
S18,239820,1.03,1.02,1.03,1.03,
S18,263036,12.34,1.02,12.34,12.34,
S18,240574,1.04,2.08,1.04,1.04,
S18,240575,11.97,2.00,11.97,11.39,
S18,258292,0.81,0.81,0.81,0.81,
S18,263032,9.70,0.81,9.70,9.70,
S18,270227,0.75,0.73,0.75,0.76,
S18,140747,2.51,2.51,2.51,2.51,
S18,111207,1.73,1.73,1.73,1.73,
S18,244806,3.49,3.49,3.49,3.49,
S18,260487,1.99,1.98,1.99,1.99,
S18,260483,1.49,1.48,1.49,1.49,
S18,260486,1.36,1.33,1.36,1.36,
S18,260479,1.49,1.46,1.49,1.49,
S18,260482,1.24,1.20,1.24,1.24,
S18,260477,1.86,1.81,1.86,1.86,
S18,260476,1.86,1.81,1.86,1.86,
S18,265208,1.14,1.14,1.14,1.14,
S18,19129,1.61,3.22,1.61,1.61,
S18,260898,8.61,8.61,8.61,8.61,
S18,206344,2.36,2.36,2.36,2.36,
S18,145994,2.24,2.49,2.24,2.24,
S18,260257,13.43,2.49,13.43,13.43,
S18,189123,2.24,4.98,2.24,2.24,
S18,260642,13.43,4.97,13.43,13.43,
S18,221915,0.66,4.40,0.66,0.66,
S18,263292,13.25,4.42,13.25,13.25,
S18,249297,0.44,2.44,0.44,0.44,
S18,250851,2.35,2.35,2.35,2.35,
S18,250852,2.33,2.33,2.33,2.33,
S18,260374,1.74,1.93,1.74,1.74,
S18,262055,1.11,2.78,1.11,1.11,
S18,262736,0.56,3.73,0.56,0.56,
S18,262737,11.25,3.75,11.25,11.25,
S18,55671,0.44,2.44,0.44,0.44,
S18,49318,8.75,2.43,8.75,8.75,
S18,224155,0.38,2.11,0.38,0.38,
S18,224156,7.50,2.08,7.50,7.50,
S18,250820,2.21,2.21,2.21,2.21,
S18,260255,13.28,2.21,13.28,13.28,
S18,250862,1.59,1.59,1.59,1.59,
S18,250863,9.53,1.59,9.53,9.53,
S18,167859,8.56,4.28,8.56,8.56,
S18,187444,2.40,4.00,2.40,2.40,
S18,260640,14.40,4.00,14.40,14.40,
S18,214887,4.61,5.12,4.61,4.61,
S18,245896,3.11,3.46,3.11,3.11,
S18,260399,18.68,3.46,18.68,18.68,
S18,245898,0.63,3.50,0.63,0.63,
S18,247302,12.50,3.47,12.50,12.50,
S18,260396,3.74,4.16,3.74,3.74,
S18,269347,3.61,4.01,3.61,3.61,
S18,269348,21.74,4.03,21.74,21.74,
S18,196336,6.74,13.48,6.74,6.74,
S18,203039,9.11,10.12,9.11,9.11,
S18,237897,8.74,9.71,8.74,8.74,
S18,255074,9.99,9.99,9.99,9.99,
S18,4096,2.86,5.72,2.86,2.86,
S18,95401,40.31,5.04,40.31,40.31,40.31
S18,19159,4.06,8.12,4.06,4.06,
S18,39171,3.36,3.36,3.36,3.36,
S18,260576,40.35,3.36,40.35,40.35,
S18,115529,4.36,4.36,4.36,4.36,
S18,238424,52.35,4.36,52.35,52.35,
S18,174718,3.74,6.23,3.74,3.74,
S18,260325,26.16,6.23,26.16,26.16,
S18,178777,4.99,9.98,4.99,4.99,
S18,180193,2.19,8.76,2.19,2.19,
S18,213169,8.99,8.99,8.99,8.99,
S18,213176,9.24,12.80,9.24,9.24,
S18,221678,0.55,5.50,0.55,0.55,
S18,235415,0.49,4.90,0.49,0.49,
S18,254232,3.36,3.36,3.36,3.36,
S18,257181,6.74,3.74,6.74,6.74,
S18,265274,2.99,7.53,2.99,2.99,
S18,269854,4.24,4.18,4.24,4.24,
S18,269855,5.11,5.14,5.11,5.11,
S18,269856,5.74,5.80,5.74,5.74,
S18,5982,3.99,3.99,3.99,3.99,
S18,234432,2.86,2.86,2.86,2.86,
S18,256419,2.69,2.69,2.69,2.69,
S18,256421,2.81,2.81,2.81,2.81,
S18,256422,1.61,3.22,1.61,1.61,
S18,256423,1.61,3.22,1.61,1.61,
S18,264413,8.61,8.61,8.61,8.61,
S18,19168,0.56,4.48,0.56,0.56,
S18,260239,13.50,4.50,13.50,13.50,
