product_id,barcode,name,brand,category,unit,quantity
31269,8076809512077,315G BARILLA DVOPEK INTEGRALNI,MULINO BIANCO,hrana,KG,315 G
266060,8076809037303,315G BARILLA DVOPEK INTEGRALNI,MULINO BIANCO,hrana,KG,10080 G
93860,3858881327528,225G DVOPEK CLASSIC KLARA,KLARA,hrana,KG,225 G
238677,8008698028605,175G SCHAER DVOPEK BEZ GLU,SCHAR,hrana,KG,175 G
266096,8008698028612,175G SCHAER DVOPEK BEZ GLU,SCHAR,hrana,KG,1050 G
263340,3838700368505,510G ŽITO DVOPEK KLASIK,ŽITO,hrana,KG,510 G
149144,4337182242055,1620G MC TORTILJA PŠEN 30CMX18,METRO CHEF,hrana,KG,1620 G
260235,4337182242062,1620G MC TORTILJA PŠEN 30CMX18,METRO CHEF,hrana,KG,9720 G
149145,4337182242093,320G MC TORTILJA PŠEN. 20CMX8K,METRO CHEF,hrana,KG,320 G
260588,4337182242109,320G MC TORTILJA PŠEN. 20CMX8K,METRO CHEF,hrana,KG,4480 G
186068,4337182243496,740G MC TORTILJA 25CM X 12KOM,METRO CHEF,hrana,KG,740 G
260243,4337182243502,740G MC TORTILJA 25CM X 12KOM,METRO CHEF,hrana,KG,5920 G
238676,8008698002025,300G SCHAER PIZZA BAZA B.GLU,SCHAR,hrana,KG,300 G
263478,4337182242130,530G MC TORTILJA PŠ 15CMX18KOM,METRO CHEF,hrana,KG,530 G
263479,4337182243762,1450G MC VIŠEZRN TORT 30CMX15K,METRO CHEF,hrana,KG,1450 G
182048,4028491401058,250G QUICKBURY HOT DOG 4/1,QUICKBURY,hrana,KG,250 G
266049,4028491411057,250G QUICKBURY HOT DOG 4/1,QUICKBURY,hrana,KG,2000 G
182049,4028491401065,300G QUICKBURY PECIVO MEGA BU.,QUICKBURY,hrana,KG,300 G
260375,4028491411064,300G QUICKBURY PECIVO MEGA BU.,QUICKBURY,hrana,KG,2100 G
182050,4028491401089,300G QUICKBURY PECIVO HAMBURG.,QUICKBURY,hrana,KG,300 G
182051,4028491401072,300G QUICKBURY PEC.HAMB.SEZAM,QUICKBURY,hrana,KG,300 G
266050,4028491411071,300G QUICKBURY PEC.HAMB.SEZAM,QUICKBURY,hrana,KG,2400 G
261874,5998985590072,450G ARO PECIVO HAMBURGER 6/1,ARO,hrana,KG,450 G
261875,5998985590065,500G ARO PECIVO HOT DOG 8/1,ARO,hrana,KG,500 G
2780,3858881320017,500G KLARA TOST CLASSIC,KLARA,hrana,KG,500 G
260469,3856016951013,500G KLARA TOST CLASSIC,KLARA,hrana,KG,4000 G
169283,8076809582483,400G BARILLA PAN BAUL.TOAST IN,MULINO BIANCO,hrana,KG,400 G
180317,4028491401997,750G QUICKBURY TOAST SANDWICH,QUICKBURY,hrana,KG,750 G
260372,4028491411996,750G QUICKBURY TOAST SANDWICH,QUICKBURY,hrana,KG,5250 G
184188,3856016900578,500G KLARA TOST S INTEGR.BRAŠ.,KLARA,hrana,KG,500 G
266107,3856016951143,500G KLARA TOST S INTEGR.BRAŠ.,KLARA,hrana,KG,4000 G
210654,4337182178149,4X100G MC PANNE PER BRUSCHETTE,METRO CHEF,hrana,KG,400 G
210656,4337182178132,500G MC PANE TRAMEZ,METRO CHEF,hrana,KG,500 G
260577,4337182037651,500G MC PANE TRAMEZ,METRO CHEF,hrana,KG,3000 G
229175,8008698024065,250G SCHAER NAR. KRUH BEZ GLU,SCHAR,hrana,KG,250 G
238675,8008698005576,300G SCHAER TOAST CLASS B.GLU,SCHAR,hrana,KG,300 G
246428,3856024702034,500G ARO TOAST CLASSIC,ARO,hrana,KG,500 G
246850,3856024702041,500G ARO TOAST CLASSIC,ARO,hrana,KG,4000 G
246429,3856024702058,750G MC MAXI TOAST,METRO CHEF,hrana,KG,750 G
246851,3856024702065,750G MC MAXI TOAST,METRO CHEF,hrana,KG,4500 G
271479,4337182178163,1KG MC PANE TRAMEZZINI,METRO CHEF,hrana,KG,1000 G
265506,4337182023258,6X280G MC BAGUETTE POLUPEČENI,METRO CHEF,hrana,KG,1680 G
265507,4337182023296,6X140G MC BAGUETTE POLUPEČENI,METRO CHEF,hrana,KG,840 G
265508,4337182023333,18X50G MC KRUŠĆIĆI PETIT PAIN,METRO CHEF,hrana,KG,900 G
265509,4337182023371,12X75G MC KRUŠĆ PETIT P PUNOZR,METRO CHEF,hrana,KG,900 G
265510,4337182023418,6X140G MC BAGUETTE PUNOZRNATI,METRO CHEF,hrana,KG,840 G
265511,4337182023456,12X75G MC KRUŠĆIĆ PETITE PAIN,METRO CHEF,hrana,KG,900 G
229173,8008698002599,240G SCHAER BIJ KRUH BEZ GLU,SCHAR,hrana,KG,240 G
266085,8008698011058,240G SCHAER BIJ KRUH BEZ GLU,SCHAR,hrana,KG,1200 G
229174,8008698010259,200G SCHAER CIABATTA BEZ GLU,SCHAR,hrana,KG,200 G
4360,3858883520859,250G DUKAT MASLAC,DUKAT,hrana,KG,250 G
182144,3856024710039,1KG MC MASLAC,METRO CHEF,hrana,KG,1000 G
226395,4034900001580,100X10G MEGGLE MASLAC,MEGGLE,hrana,KG,1000 G
227971,4033854001431,250G MARKENBUTTER MASLAC,DEUTSCHE MARKENBUTTER,hrana,KG,250 G
260584,4033854001554,250G MARKENBUTTER MASLAC,DEUTSCHE MARKENBUTTER,hrana,KG,10000 G
257319,4333465131047,100X10G RIOBA MASLAC,RIOBA,hrana,KG,1000 G
269381,4337182244493,1KG ARO MASLAC,ARO,hrana,KG,1000 G
269383,4337182244479,250G ARO MASLAC,ARO,hrana,KG,250 G
267270,3256761107329,800G GHEE MASLAC LA VACHE,LA VACHE DE PARIS,hrana,KG,800 G
20882,40349251,125G MEGGLE MASLAC ZAČ.BILJ,MEGGLE,hrana,KG,125 G
26791,4034900010254,125G MEGGLE MASLAC ZAČ.BILJ,MEGGLE,hrana,KG,1000 G
213134,8715300259028,1L DEBIC ROAST&FRY TEK MASLAC,DEBIC,hrana,L,1 L
199451,5998985578131,250G ARO STOLNI MARGARIN 60%,ARO,hrana,KG,250 G
226903,3858882210102,250G ZVIJEZDA STOLNI MARG 70% STOLNI,ZVIJEZDA,hrana,KG,250 G
226904,3858882210577,250G ZVIJEZDA STOLNI MARG 70% STOLNI,ZVIJEZDA,hrana,KG,10000 G
227415,3858882210553,500G ZVIJEZDA STOLNI MARG 70%,ZVIJEZDA,hrana,KG,500 G
227416,3858882210584,500G ZVIJEZDA STOLNI MARG 70%,ZVIJEZDA,hrana,KG,15000 G
249096,5998985529898,200X10G RIOBA MARGARIN LIGHT,RIOBA,hrana,KG,2000 G
261365,3856015327253,400G MARGO MARG NOVA 50%,MARGO NOVA,hrana,KG,400 G
199450,3858889627064,500G ARO MARG NAMAZ 25%,ARO,hrana,KG,500 G
260586,3858889627071,500G ARO MARG NAMAZ 25%,ARO,hrana,KG,12000 G
266965,3856024708364,500G ARO MARG NAMAZ 25%,ARO,hrana,KG,8000 G
42721,3858882211420,20KG ZVIJEZDA BV MARGARIN 70%,ZVIJEZDA,hrana,KG,20000 G
42733,3858882211499,20KG ZVIJEZDA LT TROPIC MARG,ZVIJEZDA,hrana,KG,20000 G
226232,3858889627088,10KG MC BV MARGARIN 80%,METRO CHEF,hrana,KG,10000 G
