store_id,type,address,city,zipcode
S18,cash and carry prodavaonica,Gospodarska 35,Varazdin,
S19,supermarket,Fascinska Bb,Porec,
S11,cash and carry prodavaonica,Slavonska Avenija 71,Zagreb - Sesvete,
S15,prodajno skladiste cash and carry,Murvica Ik 2,Zadar,
S20,skladiste za trgovanje robom na veliko i malo,Cesta Pape Ivana Pavla Ii 3,Kastel Sucurac,
S14,skladiste za trgovanje robom na veliko i malo,Kneza Trpimira 28,Osijek,
S12,cash and carry prodavaonica,Bujanovo 10,Cavle,
S10,cash and carry prodavaonica,Jankomir 31,Zagreb,
S16,supermarket,Tomislava Macana 2,Dubrovnik,
S23,cash and carry prodavaonica,Industrijska 2 E,Pula,
