store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
20201,041016,0.46,18.40,,0.47,
20201,073866,3.69,26.36,,3.69,
20201,028165,1.39,34.75,,1.39,
20201,093513,1.69,16.90,,1.69,
20201,067224,3.09,15.45,,3.09,
20201,061292,0.94,15.88,,0.94,
20201,044012,2.19,2.19,,2.12,
20201,069162,2.59,8.35,,2.59,
20201,047273,2.46,8.34,,2.46,
20201,160451,1.95,5.57,,3.29,1.95
20201,024847,2.09,5.97,,2.09,
20201,153013,18.99,4.75,,18.99,
20201,253348,3.29,4.84,,3.29,
20201,159159,4.49,6.51,,4.49,
20201,087245,3.59,5.20,,3.59,
20201,049803,4.09,11.36,,4.09,
20201,094769,5.69,10.16,,5.69,
20201,069161,2.59,8.35,,2.59,
20201,047274,2.46,8.34,,2.46,
20201,158334,1.95,5.57,,3.29,1.95
20201,024848,2.09,5.97,,2.09,
20201,258807,3.29,4.84,,3.29,
20201,157725,4.49,6.51,,4.49,
20201,029451,5.79,19.30,,5.79,
20201,028510,5.79,19.30,,5.79,
20201,028508,5.79,19.30,,5.79,
20201,019911,13.49,3.29,,13.49,
20201,098004,13.29,13.29,,13.29,
20201,094773,3.19,4.56,,3.19,
20201,068048,3.42,3.42,,3.42,
20201,059310,2.79,6.20,,2.65,
20201,244276,1.99,1.99,,2.49,
20201,088372,8.49,8.49,,8.49,
20201,089588,2.59,7.57,,2.59,
20201,001065,1.33,1.33,,0.80,
20201,103993,3.89,12.97,,3.99,
20201,028386,1.49,14.90,,1.49,
20201,101679,1.99,22.11,,1.99,
20201,101678,1.99,22.11,,1.99,
20201,164156,1.79,119.33,,1.79,
20201,013161,1.79,119.33,,1.79,
20201,150723,1.79,119.33,,1.79,
20201,157429,1.79,119.33,,1.79,
20201,158419,1.79,119.33,,1.79,
20201,156902,1.79,119.33,,1.79,
20201,013162,1.79,119.33,,1.79,
20201,013159,1.79,119.33,,1.79,
20201,013163,1.79,119.33,,1.79,
20201,160838,1.79,119.33,,1.79,
20201,013160,1.79,119.33,,1.79,
20201,164327,1.79,119.33,,1.79,
20201,042555,2.09,55.00,,2.19,
20201,021713,2.09,55.00,,1.99,
20201,013158,1.79,119.33,,1.79,
20201,152524,1.79,119.33,,1.79,
20201,097812,4.65,16.32,,4.65,
20201,042599,1.09,10.90,,1.09,
20201,042601,1.09,10.90,,1.09,
20201,042604,0.69,6.90,,0.68,
20201,253578,1.19,4.76,,1.19,
20201,001007,0.78,0.78,,0.60,
20201,107659,2.99,5.98,,2.99,
20201,244563,8.99,8.99,,8.99,
20201,100468,1.86,24.80,,1.86,
20201,070598,4.11,13.70,,4.11,
20201,103994,5.79,11.58,,5.89,
20201,088514,7.50,75.00,,7.50,
20201,104382,1.79,17.90,,1.59,
20201,105506,4.38,21.90,,4.38,
20201,087101,9.98,9.98,,9.98,
20201,026675,2.25,22.50,,2.25,
20201,091368,1.33,13.30,,1.33,
20201,032117,1.59,15.90,,1.59,
20201,102380,0.60,3.33,,0.60,
20201,095131,1.09,4.36,,1.09,
20201,069718,0.99,3.67,,0.99,
20201,069716,1.09,3.52,,1.09,
20201,102956,0.59,4.92,,0.59,
20201,246901,2.39,9.56,,2.39,
20201,026096,2.39,8.85,,2.39,
20201,099830,0.99,3.96,,0.99,
20201,087043,1.59,5.89,,1.59,
20201,087073,1.59,6.36,,1.59,
20201,029609,1.35,5.00,,1.35,
20201,029608,1.35,5.00,,1.35,
20201,248734,0.61,2.03,,0.60,
20201,048450,0.41,3.42,,0.40,
20201,048451,0.41,3.42,,0.40,
20201,029611,1.69,5.28,,1.69,
20201,248735,0.82,2.88,,0.80,
20201,029610,1.69,5.28,,1.69,
20201,048449,0.27,3.38,,0.26,
20201,048448,0.34,4.25,,0.33,
20201,020670,0.49,1.40,,0.48,
20201,020671,0.70,2.00,,0.69,
20201,102955,0.85,7.08,,0.85,
20201,067461,11.29,28.23,,11.29,
20201,103600,8.49,18.87,,8.20,
20201,044056,4.79,23.95,,4.64,
20201,044103,23.49,23.49,,22.55,
20201,091600,2.05,12.42,,2.05,
20201,044102,2.19,24.33,,2.12,
20201,097896,1.72,3.44,,1.72,
20201,245063,1.49,1.49,,1.45,
20201,088374,7.59,7.59,,7.59,
20201,103995,2.79,9.30,,2.79,
20201,093636,1.19,15.87,,1.19,
20201,001069,1.06,1.06,,0.49,
20201,064777,1.99,16.58,,1.99,
20201,103676,0.89,2.97,,0.89,
20201,066738,0.92,0.92,,0.92,
20201,008275,5.95,5.95,,5.95,
20201,087338,4.99,4.99,,4.99,
20201,153994,5.99,5.99,,5.99,
20201,252243,6.29,6.29,,6.29,
20201,095144,3.59,3.59,,3.59,
20201,044064,5.69,2.28,,5.69,
20201,104892,2.46,8.20,,2.46,
20201,104893,2.56,8.53,,2.56,
20201,032219,0.98,16.33,,0.98,
20201,049754,1.09,13.63,,1.09,
20201,071985,0.98,0.98,,0.98,
20201,024821,1.09,13.63,,1.09,
20201,054736,8.19,27.30,,8.19,
20201,106051,14.29,23.82,,14.29,
