product_id,barcode,name,brand,category,unit,quantity
010102,3859888152014,VODA JAMNICA 1 L BOCA,JAMNICA,PICE,KOM,1 L
010111,3830000620871,"VODA RADENSKA 0,5 L PET",RADENSKA,PICE,KOM,"0,500 L"
010116,3859888152113,"VODA JAMNICA GAZIRANA 0,5 L PET",JAMNICA,PICE,KOM,"0,500 L"
010123,3838600253345,"VODA DONAT 0,5 L PET",DONAT,PICE,KOM,"0,500 L"
010130,9006900011512,LEDENI CAJ PFANNER LIMUN 2 L,PFANNER,PICE,KOM,2 L
010131,3838600024945,VODA DONAT 1 L PET,DONAT,PICE,KOM,1 L
010146,3856022302045,"LEDENI CAJ BRESKVA 0,5 L PET STUDENA",STUDENA LEDENI CAJ,PICE,KOM,"0,500 L"
010150,3856022302137,"LEDENI CAJ STUDENA LIMUN 1,5 L",STUDENA LEDENI CAJ,PICE,KOM,"1,5 L"
010151,3858890970692,SOK JUICY ANANAS 100% 1 L BRIK,JUICY,PICE,KOM,1 L
010172,3871059000078,"VODA SARAJEVSKI KISELJAK 1,5 L PET",SARAJEVSKI KISELJAK,PICE,KOM,"1,5 L"
010173,3871059000023,"VODA SARAJEVSKI KISELJAK 0,5 L PET",SARAJEVSKI KISELJAK,PICE,KOM,"0,500 L"
010174,3858884600055,"VODA JANA 1,5 L PET",JANA PRIRODNA VODA,PICE,KOM,"1,5 L"
010175,3858884600062,"VODA JANA 0,5 L PET",JANA PRIRODNA VODA,PICE,KOM,"0,500 L"
010176,3856022300003,"VODA STUDENA LIMUN 1,5 L PET",STUDENA S AROMOM,PICE,KOM,"1,5 L"
010218,9006900011529,LEDENI CAJ BRESKVA 2 L PFANNER,PFANNER,PICE,KOM,2 L
010247,9006900014476,SOK ACE MULTI 30% 2 L PFANNER,PFANNER,PICE,KOM,2 L
010278,9006900014001,SOK SUMSKO VOCE BCE 30% 2 L PFANNER,PFANNER,PICE,KOM,2 L
010279,9006900014018,SOK BRESKVA 25% 2 L PFANNER,PFANNER,PICE,KOM,2 L
010301,3856022300836,"VODA STUDENAC 1,5 L PET",STUDENAC,PICE,KOM,"1,5 L"
010302,3830000620864,"VODA RADENSKA 1,5 L PET",RADENSKA,PICE,KOM,"1,5 L"
010310,3859888152045,"VODA JAMNICA GAZIRANA 1,5 L PET",JAMNICA,PICE,KOM,"1,5 L"
010316,3856022300157,"VODA STUDENA 1,5 L NEGAZIRANA",STUDENA,PICE,KOM,"1,5 L"
010323,3856022300898,VODA STUDENA 5 L PET,STUDENA,PICE,KOM,5 L
010501,3838945509077,SOK FRUCTAL ANANAS 1 L,FRUCTAL,PICE,KOM,1 L
010510,9006900014414,SOK MULTIVITAMIN 50% 2 L PFANNER,PFANNER,PICE,KOM,2 L
010535,3850158605001,SOK NEKTAR MARASKA NARANCA 1 L,MARASKA,PICE,KOM,1 L
010617,54491472,"COCA COLA 0,5 L PET",COCA COLA,PICE,KOM,"0,500 L"
010618,5449000322142,"FANTA 0,5 L PET",FANTA,PICE,KOM,"0,500 L"
010619,5449000334992,"SPRITE 0,5 L",SPRITE,PICE,KOM,"0,500 L"
010706,3850108072938,SOK FIS NARANCA 1 L BRIK,VINDIJA FIS,PICE,KOM,
010717,3850108071559,"SOK VINDI TONIC WATER 1,5 L PET",VINDIJA VINDI,PICE,KOM,"1,5 L"
010718,3850108072907,SOK FIS JABUKA 1 L  BRIK,VINDIJA FIS,PICE,KOM,
010728,3850108072952,"SOK FIS COLA 1,5 L PET",VINDIJA FIS,PICE,KOM,"1,5 L"
010801,5449000044679,"SCHWEPPES TW 1,5 L PET",SCHWEPPES,PICE,KOM,"1,5 L"
010806,5449000044709,"SCHWEPPES BL 1,5 L PET",SCHWEPPES,PICE,KOM,"1,5 L"
010807,5449000044730,"SCHWEPPES TANGERINE 1,5 L PET",SCHWEPPES,PICE,KOM,"1,5 L"
010808,5449000000286,COCA COLA 2 L PET,COCA COLA,PICE,KOM,2 L
010809,5449000322203,FANTA ORANGE 2 L PET,FANTA,PICE,KOM,2 L
010819,40822549,"SCHWEPPES BL 0,25 L BOCA KAFIC",SCHWEPPES,PICE,KOM,"0,250 L"
010820,5449000335036,SPRITE 2 L PET,SPRITE,PICE,KOM,2 L
010863,5449000054227,COCA COLA 1 L PET,COCA COLA,PICE,KOM,1 L
010864,5449000322180,FANTA 1 L PET,FANTA,PICE,KOM,1 L
010865,5449000335012,SPRITE 1 L PET,SPRITE,PICE,KOM,1 L
010868,3856022300188,"VODA STUDENA 0,5 L PET",STUDENA,PICE,KOM,"0,500 L"
010870,3856022302014,"LEDENI CAJ STUDENA BRESKVA 1,5 L",STUDENA LEDENI CAJ,PICE,KOM,"1,5 L"
010900,3830065022627,SOK PEPSI COLA 2 L PET,PEPSICO,PICE,KOM,2 L
010906,5449000214911,"COCA COLA 0,33 L LIMENKA",COCA COLA,PICE,KOM,"0,330 L"
010919,3830065023846,SOK MIRINDA NARANCA 2 L PET,PEPSICO,PICE,KOM,
010932,3830065022580,"SOK PEPSI COLA 0,5 L PET",PEPSICO,PICE,KOM,"0,500 L"
010935,3830065023396,SOK 7 UP 2 L PET,PEPSICO,PICE,KOM,2 L
010987,3858890970159,SOK JUICY NEKTAR MARELICA/BRESKVA/JABUKA 1 L BRIK,JUICY,PICE,KOM,1 L
010990,9002515427281,"SOK PAGO BANANA 0,2 L BOCA KAFIC",PAGO,PICE,KOM,"0,200 L"
011004,3850108076004,SOK COCKTAIL MANDARINA NARANCA VINDI 1 L,VINDIJA VINDI,PICE,KOM,1 L
011012,3850108079753,"SOK VINDI NEKTAR BRESKVA 0,2 L BRIK",VINDIJA VINDI,PICE,KOM,"0,200 L"
011038,90087066,SOK HAPPY DAY NARANCA 100% 1 L BRIK,RAUCH,PICE,KOM,1 L
011070,3850108074376,SOK VINDI BOROVNICA 1 L  S.C.,VINDIJA VINDI,PICE,KOM,1 L
