store_id,type,address,city,zipcode
064,hipermarket,Ante Starcevica 21,Zapresic,10290
066,hipermarket,Kukuljanovo 344,Kukuljanovo,51227
001,hipermarket,Marinici 182A,Viskovo,51216
055,hipermarket,Mije Haleusa 1,Zagreb,10000
054,hipermarket,Put Pazdigrada 5,Split,21000
008,hipermarket,Stefanovecki Zavoj 10,Zagreb,10000
091,hipermarket,Stoja 14A,Pula,52100
073,hipermarket,Ulica Karla Metikosa 4,Zagreb Novi Zagreb,10020
108,hipermarket,Ulica Martina Kontusa 5,Rijeka,51000
015,hipermarket,Zagrebacka 2,Zadar,23000
061,hipermarket,Zvonimirova 3,Rijeka,51000
152,supermarket,Alojzija Stepinca 201,Vinkovci,32100
124,supermarket,Ante Starcevica 47,Korcula,20260
059,supermarket,Antona Mataije 17,Novi Vinodolski,51250
128,supermarket,Antuna Mihanovica 82,Prelog,40323
151,supermarket,Augusta Senoe 2B,Daruvar,43500
163,supermarket,Bana Josipa Jelacica 158A,Pleternica,34310
120,supermarket,Bana Josipa Jelacica 1B,Orebic,20250
075,supermarket,Banija 88,Karlovac,47000
050,supermarket,Bartola Kasica 7,Rijeka,51000
005,supermarket,Biogradska 68,Zadar,23000
028,supermarket,Bizovacka 10,Valpovo,31550
057,supermarket,Blazenog Alojzija Stepinca 3,Biograd Na Moru,23210
090,supermarket,Brajde 7,Tar,52465
034,supermarket,Budacka Ulica 25,Gospic,53000
076,supermarket,Carlotte Grisi 1,Novigrad(Cittanova),52466
112,supermarket,Cesta Dalmatinskih Brigada 9A,Matulji,51211
097,supermarket,Cikovici 9B,Kastav,51215
156,supermarket,Ciponjac 1,Novalja,53291
102,supermarket,Creska 2A,Porec,52440
117,supermarket,Crna Rika 3,Ploce,20340
178,supermarket,Digitronska 27A,Buje,52460
162,supermarket,Dol 1A,Vis,21480
154,supermarket,Duga Ulica 59A,Varazdinske Toplice,42223
166,supermarket,Golubovecka 36B,Donja Stubica,49240
017,supermarket,Gospodarska 33,Varazdin,42000
062,supermarket,Gospodarska Ulica 12,Ludbreg,42230
033,supermarket,Grgura Ninskog 19,Nova Gradiska,35400
039,supermarket,Hrvoja Vukcica Hrvatinica 5,Vinkovci,32100
053,supermarket,Huttlerova 30,Osijek,31000
016,supermarket,I Cesmickog 5A,Koprivnica,48000
011,supermarket,I Mestrovica 70,Sibenik,22000
093,supermarket,Istarska 1P,Funtana,52452
095,supermarket,Jadranska Cesta 78,Sveti Filip I Jakov,23207
