product_id,barcode,name,brand,category,unit,quantity
0130921,3850354016045,JOGURT 1 kg JAGO.DUK,,HRANA,KOM,1.0 kg
0115650,3850104276514,PUD.VANIL.3+1 GRATIS  4x37 g DOLCELA,,HRANA,KOM,0.111 kg
0128824,7622201388362,KROA.KAKAO 110 g 7 D AY S,,HRANA,KOM,0.11 kg
0085880,3850322007099,CEDEVITA LIMET.200 g,,HRANA,KOM,
0028483,3838447000331,SPUŽVA GLITZI TRIO 3   /1,,PROIZVODI ZA KUĆANSTVO,KOM,3.0 KOM
0045313,38502934,BOMB.CLASSIC 28 g RO  NDO C,,HRANA,KOM,
0118588,8001090198068,JAR 2x900 ml LEMON,,SREDSTVA ZA ČIŠĆENJE,KOM,1.8 l
0137345,5998749144183,WHISKAS 300 g 1+GOVE   DINA,,HRANA,KOM,0.3 kg
0125501,3850116008622,LEDO FUN TI.6X110 ml,,HRANA,KOM,0.66 l
0126372,3574661593197,J&J ŠAM.500 ml BABY GOLD,,KOZMETIKA,KOM,
0012637,5997381375610,PUDING VANILIJA 38 g  DR.OETKER,,HRANA,KOM,
0134553,3838977042627,PIL.PRSA 220 g POLI KIDS,,HRANA,KOM,0.22 kg
0139223,8700216131766,OLD S.PP ASTRONAUT 2023,,KOZMETIKA,PAK,
0076328,3850104230011,ČOKOLINO 200 g,,HRANA,KOM,0.2 kg
0126128,7622210598714,BOMBO.THAN.YOU 110 g  MILKA,,HRANA,KOM,0.11 kg
0138004,5449000056245,"CAPPY LEMONADE ZERO PINK 0,4 l PET",,PIĆE,KOM,0.4 l
0111715,3850104274596,JUHA KREM GLJIV 54 g  PODRAVKA,,HRANA,KOM,0.054 kg
0143209,5099873001370,"JACK DANIEL S HONEY  0,7 l",,PIĆE,KOM,0.7 l
0026543,9000332813607,DRAŽE.RUM KOKO.100 g   CASALI,,HRANA,KOM,0.1 kg
0059835,3858881224490,MESNI NAREZ.400 g GA VRILOVIĆ,,HRANA,KOM,0.4 kg
0012018,3850355001026,SIR SVJ.POS.500 g PR,,HRANA,KOM,0.5 kg
0135752,8426617359850,BOMB.MIAMI FIZ 85 g  HARIBO,,HRANA,KOM,0.085 kg
0077194,8027391002187,ACETON 125 ml SOLVEN TE,,KOZMETIKA,KOM,0.125 l
0020277,3850104023033,SENF ESTRAGON 140 g  PODRAVKA,,HRANA,KOM,0.14 kg
0130017,3858891567396,BREL OMEK.1 l SPRING,ROBNA MARKA,SREDSTVA ZA ČIŠĆENJE,KOM,1.0 l
0119192,3859891129034,SARDINA POVRĆE 100 g  JADRANSKA MARDEŠIĆ,,HRANA,KOM,0.05 kg
0144226,3830084724069,PLOČ.ZOBENA 60 g BAN/ČOK.PROTEINI SI,,HRANA,KOM,0.06 kg
0140649,3838824433516,"SILAN 2x1,364 l MAGN OLIA",,SREDSTVA ZA ČIŠĆENJE,KOM,2.728 l
0134194,4770299394789,SIR RIBANI 40 g DZIUGAS 24 MJ.ZRENJA,SKLADIŠTE 801,HRANA,KOM,
0137786,9000101563573,"W.RIESE GEL 2,25 l O RCHID-MACADAMIA 50W",,SREDSTVA ZA ČIŠĆENJE,KOM,2.25 l
0096328,3850111501517,SANITAR 750 ml LAVAN,SKLADIŠTE 801,SREDSTVA ZA ČIŠĆENJE,KOM,0.75 l
0116444,ribola:0116444,KRUH FINI DOMA.700 g,,HRANA,KOM,0.7 kg
0082904,9008700121965,"BRAVO Z.JABUKA 0,5 l",,PIĆE,KOM,0.5 l
0136518,3858894680221,BLAGDANSKI MIX 550 g,KOLAČI,HRANA,KOM,0.55 KOM
0127779,3850105169488,NILA 900 ml M.S.BLAC K,SKLADIŠTE 801,SREDSTVA ZA ČIŠĆENJE,KOM,0.9 l
0125553,3831070652694,AFR.LOS.200 ml P.SUN,,KOZMETIKA,KOM,0.2 l
0010270,3858881081598,GRIS PŠ.KRUP. 400 g  FRANCK,,HRANA,KOM,0.4 kg
0116451,3859893124211,INDIJS.ORAH NES.RFS S,,HRANA,KG,
0110972,5310115008279,TORTELA MLIJE.240 g  ULTRA,SKLADIŠTE 801,HRANA,KOM,0.24 kg
0075398,4015400125037,NATURELLA UL.10/1 UL TRA NORMAL,,TOALETNE POTREPŠTINE,KOM,10.0 KOM
0125828,3859890561033,TORT.4 VR.SI.450 g A URELIA XXL,,HRANA,KOM,0.45 kg
0102817,3859893243028,"TERAN KOZLOVIĆ 0,75 l",SKLADIŠTE 801,PIĆE,KOM,0.75 l
0129217,ribola:0129217,BATAT II KL,ViP II,HRANA,kg,
0127359,3858891565767,BREL DET.ZA RUB.3 kg,ROBNA MARKA,SREDSTVA ZA ČIŠĆENJE,KOM,3.0 kg
0110258,3800132250550,SENSOD.Z.P.75 ml FLU ORIDE,SKLADIŠTE 801,KOZMETIKA,KOM,0.075 l
0111317,3859892911300,"POŠIP PALIHNIĆ 0,75 l BIJELO VINO",SKLADIŠTE 801,PIĆE,KOM,0.75 l
0092852,3858881772847,ULTRA-KAVA 250g,,HRANA,KOM,0.25 kg
0132984,3858891568430,MED CVJETNI 450 g  U LTRA,SKLADIŠTE 801,HRANA,KOM,0.45 kg
0135618,9000101542547,"PERWOLL 1,92 l COLOR",,SREDSTVA ZA ČIŠĆENJE,KOM,1.92 l
0128307,3856021302879,ČIPI ČIPS PRŠ.140 g,,HRANA,KOM,0.14 kg
0013050,ribola:0013050,"KRUH FRANCUZ 0,65 KGSTIL",,HRANA,kg,
0140842,5301000230387,KROA.KAKA.60 g BELIN  O,,HRANA,KOM,0.06 kg
