store_id,type,address,city,zipcode
053,supermarket,Gat SV.Duje,Split,
055,supermarket,Put Meja 6,Split,
021,supermarket,Sibenska 59,Split,
034,supermarket,Vojka Krstulovica,Split,
020,supermarket,Kralja Zvonimira 103,Solin,
023,supermarket,POLJIČKA 71,Split,
040,supermarket,Molizanskih Hrvata 20,Makarska,
092,supermarket,Miroslava Krleže 1a,Zadar,
049,supermarket,Vukovarska 131,Split,
022,supermarket,Ul.Branitelja dom.rata 4a,Šibenik,
014,supermarket,Plinarska 1,Split,
030,supermarket,Breljanska 1,Makarska,
095,supermarket,Ražanj 95A,Ražanj,
060,supermarket,Nečujam bb,Nečujam,
044,supermarket,Bana Jelačića 35,Okrug Gornji,
065,supermarket,Kneza Mislava 2,Split,
057,supermarket,Mostarska 34,Split,
004,supermarket,Put blata 2,Kaštel Stari,
083,supermarket,Dubravica 13,Orebić,
003,supermarket,Gospojska strada 1,Kastel Sucurac,
025,supermarket,Ul.Stjepana Radića 77 a i b,Šibenik,
033,supermarket,A.B.Simica 21,Kaštel Gomilica,
036,supermarket,Sv.Mihovila 57,Trilj,
010,supermarket,Stjepana Radića 51,Okrug Gornji,
039,supermarket,Put sv. Jurja 115,Kaštel Novi,
099,supermarket,Žuljanska 1,Dubrovnik,
068,supermarket,Miljenka Buljana 29,Sinj,
028,supermarket,Dr.Martina Zizica 15,Solin,
013,supermarket,A.Stepinca 41,Trogir,
037,supermarket,Policka cesta 94,Podstrana,
043,supermarket,Strožanačka 25,Podstrana,
018,supermarket,TN Medena,Seget Donji,
017,supermarket,Sv.Lovre 45,Stobrec,
027,supermarket,Domovinskog rata 51,Sinj,
006,supermarket,Kralja Kresimira 1,Kastel Kambelovac,
070,supermarket,Poljicka cesta 121A,Dugi Rat,
069,supermarket,Velikobrdski put 30,Makarska,
075,supermarket,Trg zrtava Domovinskog rata,Brela,
067,supermarket,Mazuranicevo setaliste 49-51,Split,
074,supermarket,SPLITSKA 24,Primošten,
054,supermarket,Dinka Simunovica 16,Split,
050,supermarket,Vinkovacka 60,Split,
080,supermarket,Kneza Trpimira 103,Solin,
056,supermarket,Papandopulova 7,Split,
096,hipermarket,Obala dr. Franje Tuđmana 1,Ploče,
094,supermarket,Ulica Krste Odaka 5 A,Zadar,
012,supermarket,Sv.Martin 11 -13,Podstrana,
078,supermarket,Cesta Dr.Franje Tudmana 705,Kaštel Stari,
100,hipermarket,Cesta dr. Franje Tuđmana 7,Kastel Sucurac,
047,supermarket,Jeretova 12,Split,
009,supermarket,Alojzija Stepinca 10,Kaštel Lukšić,
082,supermarket,Cesta dr.Franje Tudmana 1108,Kaštel Novi,
029,supermarket,Kralja Zvonimira 1,Trogir,
052,supermarket,Rudera Boskovica 10,Split,
059,supermarket,Strossmayerovo setaliste 1,Jelsa,
051,supermarket,Jobova 1,Split,
098,supermarket,Obala Stjepana Radića 25,Dubrovnik,
073,supermarket,Zagorski put 17,Kaštel Stari,
061,supermarket,Zagrebacka ul.50,Makarska,
005,supermarket,Cesta dr.Franje Tudmana 62,Kaštel Gomilica,
