product_id,barcode,name,brand,category,unit,quantity
1010,8000506014107,NJOKI CUCINA ITALIA.1 kg,,Hrana,kg,"1,0000"
1040,5310001139247,PUDER BECUTAN ZA DJECU 100 g,Becutan,Kozmetika,kg,"0,1000"
1041,5310001166380,ULJE BECUTAN ZA DJECU 200 ml,Becutan,Kozmetika,L,"0,2000"
1042,5310001166397,KUPKA BECUTAN ZA DJECU 200 ml,Becutan,Kozmetika,L,"0,2000"
1043,5310001166403,MLIJEK.BECUTAN ZA DJECU 200 ml,Becutan,Kozmetika,L,"0,2000"
1044,5310001166410,ŠAMPON BECUTAN ZA DJECU 200 ml,Becutan,Kozmetika,L,"0,2000"
1045,5310001138004,SAPUN BECUTAN DJEČJI 90 g,Becutan,Kozmetika,kg,"0,0900"
1047,5310001146887,KREMA BECUTAN ZA DJECU 50 ml,Becutan,Kozmetika,L,"0,0500"
1050,5310001146894,KREMA BECUTAN ZA DJECU 100 ml,Becutan,Kozmetika,L,"0,1000"
1059,4006824028219,DRES.DEVELEY SA ZAČ 75 ml VREĆ,Develey,Hrana,L,"0,0750"
1078,4006824018111,DRES.DEVELEY JOG 75 ml VREĆICA,Develey,Hrana,l,"0,0750"
1079,3859890160144,BRAŠNO T-1100 FARINA 1 kg,,Hrana,kg,"1,0000"
1090,38502095,MED MELBI LIPA 450 g,Melbi,Hrana,kg,"0,4500"
1104,3838980810121,KR.DEZODORANTSKA LIDERA 50 ml,Lidera,Kozmetika,L,"0,0500"
1130,3859890118145,ŠEĆER SMEĐI LARA PVC 1 kg,,Hrana,kg,"1,0000"
1141,38502002,MED MELBI CVJETNI 450 g,Melbi,Hrana,kg,"0,4500"
1187,4014500503646,JOG.VOĆ.JOGOB.CLASS.ZOTT 150 g,Zott,Hrana,kg,"0,1500"
1188,4014500503684,JOG.VOĆ.JOGOB.EXOTI.ZOTT 150 g,Zott,Hrana,kg,"0,1500"
1196,4008258038000,INDIJSKI ORAŠ.SEEBERGER 150 g,Seeberger,Hrana,kg,"0,1500"
1205,8594403709797,"PIVO BUDWEISER PR. 0,5 L LIM",Budweiser Budvar,Pića,L,"0,5000"
1210,4067700015013,LIKER JAGERMEISTER 1 L,,Pića,l,"1,0000"
1212,4067700032935,"LIKER JAGERMEISTER 0,7 L",,Pića,l,"0,7000"
1269,3850111753596,SREDSTVO PERMETAL 650 ml,Permetal,Sredstva za čišćenje,L,"0,6500"
1280,3838447000294,SPUŽVA GLITZI CRYSTAL 1/1,,Proizvodi za kućanstvo,kom,"1,0000"
1323,4023103201262,NAVLAKA ZA BRISAČ ULTRAMAX,,Proizvodi za kućanstvo,kom,"1,0000"
1334,4023103242944,SPUŽVA RAINBOW 10/1,,Proizvodi za kućanstvo,kom,"10,0000"
1336,4023103083943,SPUŽVA PURACTIVE ZA ISPIR. 2/1,,Proizvodi za kućanstvo,kom,"2,0000"
1343,3838447000072,KRPA SPUŽVASTA 3/1,,Proizvodi za kućanstvo,kom,"3,0000"
1364,8001940003351,RUKAVICE GRIFFIGE M,,Proizvodi za kućanstvo,kom,"1,0000"
1378,4023103071209,DRŠKA ZA METLE UNIVERZALNA,,Proizvodi za kućanstvo,kom,"1,0000"
1433,3858881770034,KAVA MLJEVENA ANAMARIA 500 g,Anamarija,Pića,kg,"0,5000"
1436,3858881770027,KAVA ANAMARIA 250 g,Anamarija,Pića,kg,"0,2500"
1459,4023103072213,MOČO SUPER 3D RESE,,Proizvodi za kućanstvo,kom,"1,0000"
1460,4003790105111,KANTA S CJEDILOM SUPER MOČO,,Proizvodi za kućanstvo,kom,"1,0000"
1566,4005808760404,KREM.NIVEA SOFT U TUBI 75 ml,Nivea,Kozmetika,L,"0,0750"
1584,4005900173966,GEL ZA KOSU NIVEA 150 ml,Nivea,Kozmetika,L,"0,1500"
1587,42246534,GEL ZA KOSU NIVEA KREM.150 ml,Nivea,Kozmetika,L,"0,1500"
1594,4005900090942,LOS.NIVEA VISAGE ZA ODS.125 ml,Nivea,Kozmetika,L,"0,1250"
1604,9005800305776,MARAM.ZA ČIŠ.LICA NIVEA 25/1,Nivea,Kozmetika,kom,"25,0000"
1747,9005800227269,KRE.NIVEA NOĆ.VISAGE Q10 50 ml,Nivea,Kozmetika,L,"0,0500"
1776,42241706,DEO ROLL ON NIVEA DRY CO.50 ml,Nivea,Kozmetika,L,"0,0500"
1780,9005800373331,DEO SPR.NIVEA FRESH ACT.150 ml,Nivea,Kozmetika,L,"0,1500"
1784,42242864,DEO ROLL ON NIVEA FRESH 50 ml,Nivea,Kozmetika,L,"0,0500"
1785,42241553,DEO ROLL ON NIVEA FRESH 50 ml,Nivea,Kozmetika,L,"0,0500"
1798,4005808730377,DEO SPR.NIVEA COOL KICK 150 ml,Nivea,Kozmetika,L,"0,1500"
1913,5997312702065,FLIPS BIG PEP SMOK.BA.CHI.65 g,Chio,Hrana,kg,"0,0650"
1916,3858881770447,CAPPUCCINO ANAMARIA 200 g,Anamarija,Pića,kg,"0,2000"
1962,4005808789382,KREMA INTEZIV.NIVEA MEN 50 ml,Nivea,Kozmetika,L,"0,0500"
1975,9005800362861,"LABELLO CLASSIC 4,8 g",Labello,Kozmetika,kom,"1,0000"
1983,9005800362908,"LABELLO MED REPAIR 4,8 g",Labello,Kozmetika,kom,"1,0000"
2005,4005800239458,HANSAPLAST UNIVERSAL 40 KOM,Hansaplast,Toaletne potrepštine,kom,"40,0000"
2094,3858891590004,FLIPS BOBI 40 g,Bobi,Hrana,kg,"0,0400"
2095,3858891590042,FLIPS BOBI 90 g,Bobi,Hrana,kg,"0,0900"
2110,3838975567009,PAŠTETA ARGETA KOKOŠJA 95 g,Argeta,Hrana,kg,"0,0950"
2159,3838964055555,HRANA ZA HRČKE  HOBBY 500 g,Hobby,Proizvodi za kućanstvo,kg,"0,5000"
2161,3838964055609,HRANA ZA ZAMORCE HOBBY 500 g,Hobby,Proizvodi za kućanstvo,kg,"0,5000"
2162,3838964109487,HRANA ZA KUNIĆE HOBBY500 g,Hobby,Proizvodi za kućanstvo,kg,"0,5000"
2165,3838964001200,HRANA ZA PAPIGE HOBBY 500 g,Hobby,Proizvodi za kućanstvo,kg,"0,5000"
2166,3838964001101,HRANA ZA SREDNJE PAPIGE 500 g,Hobby,Proizvodi za kućanstvo,kg,"0,5000"
2190,3858881100244,BLAZINICE LOLETE SENSITIV 85/1,Lola,Toaletne potrepštine,kom,"85,0000"
2195,3858881100060,ULOŠCI LOLA HIGI.SPECIJAL 10/1,Lola,Toaletne potrepštine,kom,"10,0000"
2198,3858881100053,ULOŠCI LOLA HIGIJENSKI 10/1,Lola,Toaletne potrepštine,kom,"10,0000"
2216,3838964112159,PIJESAK ZA MAČKE CLEAN 5 kg,Hobby,Proizvodi za kućanstvo,kom,"1,0000"
2227,3858881100015,VATA LOLA SENSITIVE 50 g,Lola,Toaletne potrepštine,kg,"0,0500"
2229,3858881100619,VATA LOLA CIK-CAK 100 g,Lola,Toaletne potrepštine,kg,"0,1000"
2230,3858881100022,VATA LOLA SENSITIVE 100 g,Lola,Toaletne potrepštine,kg,"0,1000"
2328,8001280026102,PUDER ZA TI.FELCE AZZURA 100 g,Felce Azzurra,Kozmetika,kg,"0,1000"
2379,3838975531628,KAVA BARCAFFE 100 g,Barcaffe,Pića,kg,"0,1000"
