store_id,type,address,city,zipcode
8701,hipermarket,Bleiburskih Zrtava 18,Zadar,
8702,hipermarket,Jankomir 33.,Zagreb,
8703,hipermarket,Ivana Fistrovica 25,Sisak,
8704,hipermarket,Sv. Leopolda B. Mandica 7,Osijek,
8705,hipermarket,Ulica Kneza Branimira 181,Zagreb,
8706,hipermarket,Osjecka 284,Slavonski Brod,
8707,hipermarket,Skorpikova 34 2,Zagreb,
8711,hipermarket,Kolakova 14  Dubrava,Zagreb,
8708,hipermarket,Stupnik Gospodarska Ulica 5,Donji,
8712,hipermarket,Gospodarska Ulica 1,Koprivnica,
8713,hipermarket,Prilaz V. Holjevca 12,Karlovac,
8714,hipermarket,Ulica Vice Vukova 6,Zagreb,
8715,hipermarket,Vukovarska 207,Split,
8716,hipermarket,Slavonska Avenija 11D,Zagreb,
8717,hipermarket,Avenija V. Holjevca 62,Zagreb,
8718,hipermarket,Josipa Jovica 93,Split,
8719,hipermarket,Rimske Centurijacije 101,Pula,
8720,hipermarket,Ulica Maria Gennaria 18,Rijeka,
8721,hipermarket,Janka Polica Kamova 81A,Rijeka,
8722,hipermarket,Liburnijska Ulica 1,Rijeka,
8723,hipermarket,Ante Starcevica 5A,Zadar,
8725,hipermarket,Svilajska 31A,Osijek,
8726,hipermarket,Ul. Grada Wirgesa 2 D,Samobor,
8728,hipermarket,Rakarska Ulica 13,Velika Gorica,
8729,hipermarket,Kukuljanovo 362,Kukuljanovo,
87001,supermarket,Optujska 171,Varazdin,
87002,supermarket,Ivana Fuderera Hanzike 3,Valpovo,
87003,supermarket,Put Vida 6,Sibenik,
87004,supermarket,Ulica Akcije Maslenica 1,Zadar,
87005,supermarket,Ivana Sibla 11,Zagreb,
87006,supermarket,Vlaska 44,Zagreb,
87007,supermarket,Polacisce 4,Zadar,
87008,supermarket,Ehrlichova 9A,Zagreb,
87009,supermarket,Svetojelenska Cesta 25,Cakovec,
87011,supermarket,Franje Candeka 8A,Rijeka,
87012,supermarket,Licka Ulica 1 3,Split,
87014,supermarket,Poljicka 2 1,Split,
87015,supermarket,Dankovecka 4,Zagreb,
87016,supermarket,Medimurska Ulica 31C,Varazdin,
87017,supermarket,Ulica Grada Mainza 16,Zagreb,
87018,supermarket,Vinka Mederala 2A I 2B,Varazdin,
87019,supermarket,Gospodska 2,Zagreb,
87020,supermarket,Trg Zrtava Fasizma 6,Zagreb,
87021,supermarket,Sporova Jama 1A,Kastav,
87022,supermarket,Drazica 7,Selce,
87023,supermarket,Banjavciceva 22A,Zagreb,
87024,supermarket,Jadranska Cesta 160,Bibinje,
87025,supermarket,Bujska Ul. Via Buie Br. 1,Umag,
87026,supermarket,Riva Boduli 1,Rijeka,
87027,supermarket,Pulska Ulica 2C,Labin,
87028,supermarket,Ul. Rudolfa Fizira 3,Ludbreg,
87029,supermarket,Tina Ujevica 17,Zagreb,
87030,supermarket,Martinkovac 127,Rijeka,
87031,supermarket,Gospodarska 1A,Buje,
87032,supermarket,Tadije Smiciklasa 5A,Krizevci,
87033,supermarket,Osjecka 10,Pozega,
87036,supermarket,Tresnjevka 1 1,Jastrebarsko,
87034,supermarket,Dugoselska Cesta 20,Sesvetski Kraljevec,
87035,supermarket,Ivan Zelina Zagrebacka Ulica 137,Sv.,
87038,supermarket,Ante Topica Mimare 57,Zagreb,
87037,supermarket,Vrtnjakovec 115A,Krapinske Toplice,
87039,supermarket,Tomasa Goricanca 1,Cakovec,
87040,supermarket,Grana 150 2,Novi Marof,
87041,supermarket,Ivane Brlic Mazuranic 2A,Zagreb,
87042,supermarket,Stjepana Majdeka 53,Ivanic Grad,
87044,supermarket,Priljevo 36,Vukovar,
87043,supermarket,Stubicka Cesta 17 D,Marija Bistrica,
87051,supermarket,Bozidara Magovca 47,Zagreb,
87045,supermarket,Prilaz A. B. Simica 1,Vinkovci,
87049,supermarket,Sucurac Dr. Franje Tudmana 344,Kastel,
87052,supermarket,Picmanova 1A,Zagreb,
87053,supermarket,Jordanovac 7,Zagreb,
87054,supermarket,Argentinska 4,Zagreb,
87055,supermarket,Horvatovac 58,Zagreb,
87056,supermarket,Petrovaradinska 47,Zagreb,
87057,supermarket,Seferova 6 8,Zagreb,
87058,supermarket,Tuskanac 53,Zagreb,
87059,supermarket,Bijenicka Cesta 5,Zagreb,
87060,supermarket,Mlinovi 79,Zagreb,
87061,supermarket,Gracani 7,Zagreb,
87062,supermarket,Avenija Dubrovnik 42,Zagreb,
87063,supermarket,Dobroniceva7,Zagreb,
87064,supermarket,H. Macanovica 29,Zagreb,
87065,supermarket,V. Kovacica 3A,Zagreb,
87066,supermarket,Aleja Pomoraca 21,Zagreb,
87067,supermarket,V. Varicaka 12,Zagreb,
87068,supermarket,Gjalskoga 66,Zapresic,
87069,supermarket,Trg Ane Rukavine 1,Zagreb,
87070,supermarket,Borongajska Cesta 75,Zagreb,
87074,supermarket,Zagrebacka 3,Zagreb,
87072,supermarket,Kneza Branimira 163,Zagreb,
87073,supermarket,Ulica Sr Njemacke 3,Zagreb,
87075,supermarket,Banjavciceva 13,Zagreb,
87076,supermarket,Matice Hrvatske 22,Velika Gorica,
87077,supermarket,Ilica 425,Zagreb,
87078,supermarket,Petrovaradinska 7C,Zagreb,
87079,supermarket,Savska 58,Zagreb,
87081,supermarket,Ulica Dubrava 45,Zagreb,
87080,supermarket,Trg K. P. Kresimira Iv Bb,Velika Gorica,
87082,supermarket,Jurja Zerjavica 2,Zagreb,
87083,supermarket,Vincenta Iz Kastva 10,Zagreb,
87084,supermarket,Marticeva 13,Zagreb,
87085,supermarket,Vojina Bakica 1,Zagreb,
87086,supermarket,Gruska 18,Zagreb,
87087,supermarket,Vi Oranicki Odvojak 2,Zagreb,
87088,supermarket,Petra Svacica 2,Slavonski Brod,
87089,supermarket,Kneza Trpimira 14,Osijek,
87090,supermarket,Zagrebacka Ulica 81,Varazdin,
87091,supermarket,Kolodvorska 31A,Koprivnica,
87092,supermarket,Andrije Hebranga 2A,Bjelovar,
87094,supermarket,Kralja Zvonimira 59,Vinkovci,
87093,supermarket,Kralja P. Kresimira Iv 10,Karlovac,
87095,supermarket,Bana Jelacica 10A,Dakovo,
87096,supermarket,Strossmayerova 167,Osijek,
87097,supermarket,Kralja Zvonimira 167,Orahovica,
87099,supermarket,Andrije Hebranga 18,Pakrac,
87098,supermarket,Polje  N. Subica Zrinskog 38,Grubisno,
87100,supermarket,Kralja Tomislava 2,Suhopolje,
87101,supermarket,Gajeva 47,Daruvar,
87102,supermarket,Trg Hrv. Branitelja 9,Pleternica,
87103,supermarket,Vinogradska 4,Nasice,
87104,supermarket,Osjecka Ulica 29,Rijeka,
87105,supermarket,Santoriova 13,Pula,
87106,supermarket,Nova Cesta 68,Opatija,
87107,supermarket,Obala Rade Koncara 1A,Porec,
87108,supermarket,Spinciceva 2J,Split,
87109,supermarket,Getaldiceva Bb,Knin,
87112,supermarket,Subiceva 5 7,Split,
87119,supermarket,Svetoklarska Ulica 32,Zagreb,
87123,supermarket,Zagrebacka Ulica 40,Zlatar,
87124,supermarket,Ivana Gorana Kovacica 51,Ivanec,
87126,supermarket,Boskoviceva 24,Split,
87127,supermarket,Kutinska Ulica 16,Popovaca,
87133,supermarket,Put Bagata 11,Nin,
87134,supermarket,Toplicka Cesta 87 A,Donja Stubica,
87135,supermarket,Ulica Janka Leskovara 46,Pregrada,
87155,supermarket,Osjecka 21,Cepin,
87140,supermarket,Karlovacka Cesta 74,Ozalj,
87142,supermarket,Zagrebacka Ulica 154,Dugo Selo,
87156,supermarket,Budacka 100,Gospic,
87167,supermarket,D.Tomljanovica Gavrana 2B,Senj,
87169,supermarket,Bolnicka Ulica 80K,Pakrac,
87171,supermarket,Svilajska Ulica 35B,Osijek,
