product_id,barcode,name,brand,category,unit,quantity
10030651,291781,SMOKVA SVJ.,SKLADIŠTE VOĆA I POVRĆA-DUGOPOLJE,SVJEŽI ODJELI,kg,"1,000"
10030733,1129,ARTIČOKE KOM.,SKLADIŠTE VOĆA I POVRĆA-DUGOPOLJE,SVJEŽI ODJELI,kom,"1,000"
10030936,3830055871853,AJAX CRYSTAL 750 ml + 500 ml,AJAX,NEPREHRANA,kom,"1,200"
10031006,3859893326608,DORUČAK MESNI 150 g PREMIUM,MM MESNA INDUSTRIJA D.O.O.,PAKIRANA HRANA I PIĆE,kom,"0,150"
10031114,5996175232290,GEL ZA TUŠ.250 ml PALMOL.MLI/P,PALMOLIVE,NEPREHRANA,kom,"0,250"
10031813,8007898000152,ČETKA ZA METLU DECORA,MR BRUSH SNC,NEPREHRANA,kom,"1,000"
10034426,3850354017257,VRHNJE ZA KUHANJE 1kg DUKAT,DUKAT D.D.,HLAĐENO I SMRZNUTO,kom,"1,000"
10037845,3693,KOLAČ KOKOS VANILIJA 125 g VZ,VIKTOR ZADAR D.O.O.,SVJEŽI ODJELI,kom,"0,125"
10037923,8691707062402,KEKS PAPITA 33 g SOLEN,SOLEN,PAKIRANA HRANA I PIĆE,kom,"0,033"
10040266,3850354006855,"MLIJEKO TRAJNO 1,5% 0,5 L  LAGANO JUTRO DUKAT",DUKAT D.D.,HLAĐENO I SMRZNUTO,kom,"0,500"
10043768,8001720021018,PANETTONE 500 g BAULI,SALVIA D.O.O.,SVJEŽI ODJELI,kom,"0,500"
10044535,3800093510137,KOLAČ VAN. KREMA 300 g LA TREC,CAKE MANIA,PAKIRANA HRANA I PIĆE,kom,"0,300"
10045651,4015400219743,TAMPONI 16/1 TAMPAX COM. SUPER,TAMPAX,NEPREHRANA,kom,"1,000"
10051393,5319991155800,VINO VRANAC 3L PET,DAINESSE D.O.O.,PAKIRANA HRANA I PIĆE,kom,"3,000"
10051434,3858892460337,"ORAHOVAC 0,1 L DALMACIJAVINO",BADEL 1862.D.D.,PAKIRANA HRANA I PIĆE,kom,"0,100"
10051515,3850105176554,"FAKS 2,34 kg SUPERAKTIV C.",FAKS,NEPREHRANA,kom,"2,340"
10051520,3850105176769,"FAKS 3,51 kg C.AQUAMARINE",FAKS,NEPREHRANA,kom,"3,510"
10058859,290875,GRAPEFRUIT SNIŽENO,,SVJEŽI ODJELI,kg,"1,000"
10059060,290935,VIŠNJA SNIŽENO,,SVJEŽI ODJELI,kg,"1,000"
10059116,290932,SMOKVA SVJEŽA SNIŽENO,,SVJEŽI ODJELI,kg,"1,000"
10000008,3850108020908,"MLIJEKO TRAJNO 2,8% 1 L Z BREGOV ČEP TE",Z BREGOV,HLAĐENO I SMRZNUTO,kom,"1,000"
10000012,5449000000286,NAPITAK GAZ.2 L COCA-COLA,COCA COLA,PAKIRANA HRANA I PIĆE,kom,"2,000"
10000016,3858884600055,"VODA NEGAZ.1,5 L JANA",JANA,PAKIRANA HRANA I PIĆE,kom,"1,500"
10000026,3858882210010,ULJE SUNCOKRET 1 L ZVIJEZDA,ZVIJEZDA ULJE,PAKIRANA HRANA I PIĆE,kom,"1,000"
10000034,3850131005682,"PIVO OŽUJSKO 6 X 0,5 L LIM.",OŽUJSKO,PAKIRANA HRANA I PIĆE,kom,"3,000"
10000053,2105621,PILEĆI FILE OBIT. PAK. /kg,CEKIN,SVJEŽI ODJELI,kg,"1,000"
10000064,291077,SIR IBERICO DELICATO,DELICATO,HLAĐENO I SMRZNUTO,kg,"1,000"
10000081,2105602,PILEĆI BATAK/ZAB.SVJ. PODL /kg,CEKIN,SVJEŽI ODJELI,kg,"1,000"
10058838,293269,KRUMPIR MLADI SNIŽENO,,SVJEŽI ODJELI,kg,"1,000"
10000061,292361,PAPRIKA SVJ.,SKLADIŠTE VOĆA I POVRĆA-DUGOPOLJE,SVJEŽI ODJELI,kg,"1,000"
10000063,291198,CARSKO MESO,PETASON D.O.O.,SVJEŽI ODJELI,kg,"1,000"
10000073,291393,KAPULA ŽUTA (CRV.LUK),SKLADIŠTE VOĆA I POVRĆA-DUGOPOLJE,SVJEŽI ODJELI,kg,"1,000"
10000089,3838800040578,"MLIJEKO TRAJNO 3,5% 1 L ALPSKO DUKAT",ALPSKO,HLAĐENO I SMRZNUTO,kom,"1,000"
10000116,3850103902162,PIVO KARLOVAČKO 2 L PET,KARLOVAČKO PIVO,PAKIRANA HRANA I PIĆE,kom,"2,000"
10000126,293241,MORTADELA PIK,PIK,HLAĐENO I SMRZNUTO,kg,"1,000"
10000159,3850131004715,"PIVO LOWENBRAU 0,5 L LIM.",LOWENBRAU,PAKIRANA HRANA I PIĆE,kom,"0,500"
10000193,290409,SIR EDAMER MEIBA,HOOGWEGT CHEESE B.V.,HLAĐENO I SMRZNUTO,kg,"1,000"
10000206,2105615,PILEĆI BATAK NA PODLOŠKU /kg,CEKIN,SVJEŽI ODJELI,kg,"1,000"
10000276,3870183400013,NAPITAK GAZ.NARANČA 2 L PIPI,PIPI,PAKIRANA HRANA I PIĆE,kom,"2,000"
10000279,3858890873085,"VODA VITAMIN IMMUNO 1,5 L JANA",JANA VITAMIN,PAKIRANA HRANA I PIĆE,kom,"1,500"
10000310,3859892288600,PAPIR TOAL. 10/1 3SL. VIOLET,VIOLETA,NEPREHRANA,kom,"10,000"
10000344,290192,KOBASICA TIROLSKA GAVRILOVIĆ,GAVRILOVIĆ,HLAĐENO I SMRZNUTO,kg,"1,000"
10000369,80177616,KINDER ČOKOLADA 100 g,FERRERO CHOCOLATE,PAKIRANA HRANA I PIĆE,kom,"0,100"
10000371,3859892866884,VINO VENUS 1 L,VENUS,PAKIRANA HRANA I PIĆE,kom,"1,000"
10000381,3850131001790,"PIVO STAROPRAMEN 0,5 L BOCA",STAROPRAMEN,PAKIRANA HRANA I PIĆE,kom,"0,500"
10000382,3838471032308,KAVA MLJEV. CLAS.400 g BARCAFF,BARCAFFE,PAKIRANA HRANA I PIĆE,kom,"0,400"
10000391,3858887580675,PIVO PAN ZLATNI 2 L PET,PAN ZLATNI,PAKIRANA HRANA I PIĆE,kom,"2,000"
10000425,290358,SIR TILZIT 45% VINDIJA,VINDIJA SIREVI,HLAĐENO I SMRZNUTO,kg,"1,000"
10000435,3850105166067,"FAKS 4,225 kg INTELLIGENT",FAKS HELIZIM,NEPREHRANA,kom,"4,225"
10000112,290765,JABUKA ZLATNI DELIŠES,SKLADIŠTE VOĆA I POVRĆA-DUGOPOLJE,SVJEŽI ODJELI,kg,"1,000"
10000131,3858881220010,DORUČAK MESNI 150 g GAVRILO,GAVRILOVIĆ,PAKIRANA HRANA I PIĆE,kom,"0,150"
10000226,3858884601045,"LEDENI ČAJ BRESKV.1,5 L JANA",JANA LEDENI ČAJ,PAKIRANA HRANA I PIĆE,kom,"1,500"
10000274,3858886934691,MLJEVENO MIJEŠ. DELICATO 450g,DELICATO,SVJEŽI ODJELI,kom,"0,450"
10000353,3850339419090,PUREĆI ĆEVAPČIĆI 532 g VINDIJ,VINDON,SVJEŽI ODJELI,kom,"0,530"
10000357,3850116613956,GRAŠAK SMRZ.450 g U-GR LEDO,LEDO,HLAĐENO I SMRZNUTO,kom,"0,450"
10000400,3850108023572,"MLIJEKO TRAJNO BEZ LAKTOZE 2,8% 1 L Z BREGOV",Z BREGOV,HLAĐENO I SMRZNUTO,kom,"1,000"
10000487,3850139171044,MORTADELA NAR.150 g PIK,PIK,HLAĐENO I SMRZNUTO,kom,"0,150"
10000494,5060166695279,"MONSTER ENERGY 0,5 L",MONSTER ENERGY,PAKIRANA HRANA I PIĆE,kom,"0,500"
10000508,3850116641942,SLADOLED VANILIJA MACHO LEDO,MACHO,HLAĐENO I SMRZNUTO,kom,"0,080"
10000520,2111158,PILE GAVELINO /kg VINDIJA,CEKIN,SVJEŽI ODJELI,kg,"1,000"
