store_id,type,address,city,zipcode
10152,supermarket,Ante Starčevića 114,Makarska,21300
10180,supermarket,Ante Starčevića 6,Korčula,20260
10291,supermarket,Ante Starčevića 78,Rogoznica,22203
10311,supermarket,Ante Šupuka 10,Šibenik,22000
10132,supermarket,Antona Mataije 9,Novi Vinodolski,51250
10344,supermarket,Blajburška Ulica 135,Imotski,21260
10260,supermarket,Brajde 9,Tar,52465
10130,supermarket,Brnaze 180,Sinj,21230
10108,supermarket,Bušićeva 8,Split,21000
10110,supermarket,Cesta Dr Franje Tuđmana 878,Kaštel Stari,21216
10337,supermarket,Cesta Hrvatskih Branitelja 41A,Preko,23273
10109,supermarket,Domovinskog Rata 93,Split,21000
10364,supermarket,Don Frane Bulića 66B,Solin,21210
10316,supermarket,Donji Put 2,Jezera,22242
10362,supermarket,Dr Franje Tuđmana 107,Vrsi,23235
10355,supermarket,Dr Franje Tuđmana 18,Sukošan,23206
10322,supermarket,Dr Franje Tuđmana 80,Biograd,23210
10335,supermarket,Dubravica 15,Orebić,20250
10128,supermarket,Dubrovačka 1,Split,21000
10270,supermarket,Franje Tuđmana 1038,Kaštel Novi,21216
10126,supermarket,Gospe U Siti 2,Strožanac,21312
10147,supermarket,Ivana Bana Mažuranića 7,Šibenik,22000
10127,supermarket,Jadranska 1,Opuzen,20355
10340,supermarket,Jelsa 1047,Jelsa,21465
10297,supermarket,Kamenar 2,Primošten,22202
10342,supermarket,Koparska 64,Pula,52100
10182,supermarket,Kralja Dmitra Zvonimira 4,Benkovac,23420
10325,supermarket,Kralja Tomislava 100,Baška,51523
10175,supermarket,Kralja Tomislava 7,Dubrovnik,20000
10151,supermarket,Kralja Zvonimira 18,Makarska,21300
10183,supermarket,Leopolda Mandića 18,Dugopolje,21204
10314,supermarket,Lokunje 3,Novalja,53291
10283,supermarket,Maršala Tita 166,Opatija,51410
10200,supermarket,Matice Hrvatske 1,Split,21000
10190,supermarket,Matoševa 29,Solin,21210
10136,supermarket,Mažuranićevo Šetalište 24,Split,21000
10328,supermarket,Narodnog Preporoda 1,Šibenik-Ražine,22000
10226,supermarket,Obrovačka 3,Gračac,23440
10332,supermarket,Odvojak Stjepana Radića 2,Krk,51500
10290,supermarket,Palit 431,Rab,51280
10350,supermarket,Pašmanska Cesta 1,Tkon,23212
10333,supermarket,Poljička Cesta 36,Podstrana,21312
10155,supermarket,Prudnjaci 1,Bestovje,10437
10304,supermarket,Put Bokanjca 37,Zadar,23000
10100,supermarket,Put Brodarice 6,Split,21000
10250,supermarket,Put Bunara 5,Vir,23234
10338,supermarket,Put Lozica 6,Vir,23234
10303,supermarket,Put Lučice 19,Vir,23234
10347,supermarket,Put Mavarčice 2B,Okrug Gornji,21233
10146,supermarket,Put Stanova 46,Zadar,23000
10365,supermarket,Radobiljska Cesta 1,Šestenovac,21250
10343,supermarket,Ražanac X 58A,Ražanac,23248
10161,supermarket,Ruđera Boškovića 18,Split,21000
10356,supermarket,Sali Ii 1C,Sali,23281
10169,supermarket,Splitska 37,Sinj,21230
10246,supermarket,Stjepana Radića 139,Šibenik,22000
10142,supermarket,Supilova 7,Zagreb,10000
10317,supermarket,Sveti Vid - Miholjice 205,Malinska Krk,51511
10143,supermarket,Svetonedeljska 13,Samobor,10430
10353,supermarket,Tolstojeva 4,Selca,21425
10196,supermarket,Trajektno Pristanište 2,Stari Grad,21460
10181,supermarket,Trg Ivana Koblera 1,Rijeka,51000
10346,supermarket,Trogirska Cesta 6,Trogir,21220
10199,supermarket,Ul Bana Jelačića 43,Vis,21480
10145,supermarket,Ulica 142 Brigade 1,Drniš,22320
10351,supermarket,Ulica 144 Brigade Hrvat Vojske 5,Sesvete,10360
10176,supermarket,Ulica 47 49,Vela Luka,20270
10327,supermarket,Ulica Dr Franje Tuđmana 18,Starigrad Paklenica,23244
10329,supermarket,Ulica Europske Zajednice 1,Makarska,21300
10312,supermarket,Ulica Ivana Pavla Ii 99,Privlaka,23233
10125,supermarket,Ulica Kneza Branimira 1,Metković,20350
10305,supermarket,Ulica Marka Marulića 7,Zadar,23000
10372,supermarket,Ulica Petra Zoranića 8,Obrovac,23450
10280,supermarket,Ulica Tomislava Relje 1,Nin,23232
10160,supermarket,Vukovarska 36,Dubrovnik,20000
10300,supermarket,Ćirila I Metoda 11,Vodice,22211
10339,supermarket,Čatrnja 172,Čatrnja Rakovica,47245
10179,supermarket,Šetalište S Radića 18,Okrug Gornji,21223
10323,supermarket,Žedno-Drage 1,Supetar,21400
10140,supermarket,Žnjanska Ulica 4,Split,21000
