store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
P220,0000663,1.84,3.68,,1.33,
P220,0000884,0.40,2.22,,0.49,0.40
P220,0000965,1.99,36.18,,1.99,
P220,0000973,2.40,4.80,,2.40,
P220,0000981,1.39,1.39,,1.26,
P220,0000990,1.29,5.16,,1.29,
P220,0001112,4.19,4.19,,4.19,
P220,0001325,21.99,21.99,,29.15,21.99
P220,0001589,6.05,6.05,,6.05,
P220,0001716,25.43,25.43,,25.43,
P220,0002364,4.88,4.88,,4.88,
P220,0002437,6.61,6.61,,6.61,
P220,0002470,10.16,10.16,,10.16,
P220,0003174,12.59,12.59,,12.59,
P220,0003190,6.49,6.49,,6.49,
P220,0003220,1.21,121.00,,1.21,
P220,0003263,1.47,58.80,,1.47,
P220,0003280,12.77,25.54,,12.77,
P220,0003530,0.99,70.71,,0.99,
P220,0003557,0.99,70.71,,0.99,
P220,0003581,0.99,70.71,,0.99,
P220,0003743,2.79,7.97,,2.79,
P220,0003760,4.29,6.22,4.29,4.29,
P220,0003905,1.10,11.00,,1.10,
P220,0004189,1.40,14.00,,1.40,
P220,0004227,23.33,23.33,,23.33,
P220,0004286,1.61,16.10,,1.61,
P220,0004308,2.70,13.50,,2.70,
P220,0004545,1.09,13.63,1.67,1.67,1.09
P220,0004553,1.04,10.40,,1.04,
P220,0004693,1.38,13.80,,1.38,
P220,0004758,2.66,156.47,,2.66,
P220,0004871,10.75,10.75,,10.75,
P220,0005096,1.67,16.70,,1.67,
P220,0005150,4.12,10.30,,4.12,
P220,0005177,1.36,13.60,,1.36,
P220,0005258,8.76,43.80,,8.76,
P220,0005266,12.87,42.90,,12.87,
P220,0005274,18.67,37.34,,18.67,
P220,0005290,1.69,1.69,,1.69,
P220,0005304,2.71,27.10,,2.71,
P220,0005312,3.07,30.70,,3.07,
P220,0005339,1.96,39.20,,1.96,
P220,0005355,2.99,29.90,,2.61,
P220,0006025,1.39,1.39,,1.39,
P220,0006882,1.46,3.84,,1.46,
P220,0006947,0.57,57.00,,0.57,
P220,0007005,4.02,10.72,,4.02,
P220,0007277,11.08,11.08,,11.08,
P220,0007285,10.38,10.38,,10.38,
P220,0007382,2.64,17.60,,2.64,
P220,0007501,2.17,2.17,,1.64,
P220,0007587,2.08,208.00,,2.08,
P220,0007625,1.63,27.17,,1.63,
