product_id,barcode,name,brand,category,unit,quantity
0000663,3850108023350,"MLIJEKO ČOKOLADNO ZBREGOV 2%MM 0.5L SLIM (16), VINDIJA",VINDIJA - MLIJEČNO,Hrana,L  ,0.500 L  
0000884,3850108030136,"JOGURT ZBREGOV 2.8%MM 180G, VINDIJA",VINDIJA - MLIJEČNO,Hrana,KG ,180.000 GR 
0000965,40145631,MONTE ČOKOLADA 4X55G (6),,Hrana,KG ,55.000 GR 
0000973,3858881322011,"MRVICE KRUŠNE 500G, KLARA (42)","KLARA, ZAGREB",Hrana,KG ,500.000 GR 
0000981,2000000009810,LUK LILA,,Hrana,KG ,1 KG 
0000990,3858881322059,MRVICE KRUŠNE 250G (60)  KLARA,"KLARA, ZAGREB",Hrana,KG ,0.250 KG 
0001112,3850159120480,"CEKIN POSEBNA SALAMA, KOKA-VINDIJA",VINDIJA - CEKIN,Hrana,KG ,1.000 KG 
0001325,3858881220799,"ZIMSKA SALAMA, GAVRILOVIĆ",GAVRILOVIĆ,Hrana,KG ,1.000 KG 
0001589,3850104097928,"TIROLSKA KOBASICA, PODRAVKA","DANICA, KLAONICA I PRERADA MESA",Hrana,KG ,1.000 KG 
0001716,2102221000000,"PANCETA VP,PODRAVKA","DANICA, KLAONICA I PRERADA MESA",Hrana,KG ,1.000 KG 
0002364,3850159111013,"CEKIN GRILL PILE SMRZNUTO, KOKA VINDIJA",VINDIJA - CEKIN,Hrana,KG ,1.000 KG 
0002437,2108602000003,"POLI PILEĆA POSEBNA SALAMA CCA 1100G, PERUTNINA","PERUTNINA, PTUJ",Hrana,KG ,1.000 KG 
0002470,3858881229082,"PARIŠKA KOBASICA 2600G, GAVRILOVIĆ",GAVRILOVIĆ,Hrana,KG ,1.000 KG 
0003174,3850108055207,"VARAŽDINEC POLUTVRDI MASNI SIR 45%MM, VINDIJA",VINDIJA - MLIJEČNO,Hrana,KG ,1.000 KG 
0003190,3850108058055,"GOUDA SIR CCA 2,5KG, VINDIJA",VINDIJA - MLIJEČNO,Hrana,KG ,1.000 KG 
0003220,5997381312301,"ŽELATINA MLJEVENA BIJELA 10G (45), DR.OETKER",DR.OETKER,Hrana,KG ,10.000 GR 
0003263,3850104007958,"ŽELIN 25G (50), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,25.000 GR 
0003280,3858882211574,"DJEVIČANSKO MASLINOVO ULJE EXTRA 0.5L (12), ZVIJEZDA","ZVIJEZDA, ZAGREB",Hrana,L  ,0.500 L  
0003530,50173204,"ORBIT PEPERMINT 10 DRAŽEJA ŽVAKAĆE 14G (30), WRIGLEY",WRIGLEY,Hrana,KG ,14.000 GR 
0003557,50173822,"ORBIT SPEARMINT 10 DRAŽEJA ŽVAKAĆE 14G (30), WRIGLEY",WRIGLEY,Hrana,KG ,14.000 GR 
0003581,50173976,"ORBIT WINTERFRESH 10 DRAŽEJA ŽVAKAĆE 14G (30), WRIGLEY",WRIGLEY,Hrana,KG ,14.000 GR 
0003743,3850104051029,"AJVAR BLAGI 350G (12) (PAL 153), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,350.000 GR 
0003760,3850104051012,"AJVAR BLAGI 690G (12) (PAL 48), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,690.000 GR 
0003905,3858881044517,ŽELE NARESCI 100G,"KANDIT, OSIJEK",Hrana,KG ,100.000 GR 
0004189,3838700041767,ŠUMI KARAM.FRU FRU 100G (12) PODRAVKA,"PODRAVKA, KOPRIVNICA",Hrana,KG ,100.000 GR 
0004227,3858882211550,"DJEVIČANSKO MASLINOVO ULJE EXTRA 1L (6), ZVIJEZDA","ZVIJEZDA, ZAGREB",Hrana,L  ,1.000 L  
0004286,9002975323369,HARIBO HAPPY-COLA BOMBONI 100G,,Hrana,KG ,100.000 GR 
0004308,9002975301268,HARIBO MEDVJEDIĆI BOMBONI 200G,,Hrana,KG ,200.000 GR 
0004545,3850102212460,MENTOL BEZ ŠEĆERA 80G (30) (PAL-100),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,80.000 GR 
0004553,3858881043466,"MENTOL BOMBONI 100G (42), KANDIT","KANDIT, OSIJEK",Hrana,KG ,100.000 GR 
0004693,3850102210312,PEPERMINT BOMB.100G (30) (-PAL-48),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,100.000 GR 
0004758,5997255700104,PEZ FIGURICE BOMBONI 17G (12),,Hrana,KG ,17.000 GR 
0004871,3858881973206,"METLA SOBNA  320, ARIS",,Proizvodi za kućanstvo,KOM,1 KOM
0005096,3838700040319,ŠUMI VISOKI C 100G (13) PODRAVKA,"PODRAVKA, KOPRIVNICA",Hrana,KG ,100.000 GR 
0005150,3838700040937,ŠUMI MIX BOMBONI 400G (12) PODRAVKA,"PODRAVKA, KOPRIVNICA",Hrana,KG ,400.000 GR 
0005177,3838700040432,"ŠUMI JABUKA BOMBONI 100G (13), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,100.000 GR 
0005258,3850102230044,"BAJADERA 200G (12), KRAŠ (PAL-60)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,200.000 GR 
0005266,3850102230051,"BAJADERA 300G (12), KRAŠ (PAL-32)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,300.000 GR 
0005274,3850102230068,"BAJADERA 500G (6), KRAŠ (PAL-50)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,500.000 GR 
0005290,2000000052908,BANANE,,Hrana,KG ,1 KG 
0005304,3858881790322,"PAPAR CRNI ZRNO 100G, HOD","HOD, ZAPREŠIĆ",Hrana,KG ,100.000 GR 
0005312,3859888163034,"PAPAR MLJEVENI 100G (20), ŠAFRAM","ŠAFRAM, ZAGREB",Hrana,KG ,100.000 GR 
0005339,3859888163089,"PAPAR MLJEVENI 50G (25), ŠAFRAM","ŠAFRAM, ZAGREB",Hrana,KG ,50.000 GR 
0005355,3858881790230,"PAPAR MLJEVENI 100G, HOD (18)","HOD, ZAPREŠIĆ",Hrana,KG ,100.000 GR 
0006025,3850104063183,"BRAŠNO TIP 1100 CRNO 1KG (10), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,1.000 KG 
0006882,3850104050718,"CIKLA 660G/380G (12), (PAL 48)PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,380.000 GR 
0006947,3859888163300,"CIMET MLJEVENI 10G (50), ŠAFRAM","ŠAFRAM, ZAGREB",Hrana,KG ,10.000 GR 
0007005,4008713111408,"CORN FLAKES 375G, BRUGGEN",,Hrana,KG ,375.000 GR 
0007277,3850104017476,"ČOKOLINO LJEŠNJAK 1KG (4), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,1.000 KG 
0007285,3850104017537,"ČOKOLINO 1KG (4),(PAL 24) PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,1.000 KG 
0007382,3850104017230,"RIŽOLINO 150G (14), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,150.000 GR 
0007501,2000000075013,DINJA,,Hrana,KG ,1 KG 
0007587,3838917079003,"EKSTRAKT MARELICA 10G (20), AROTOL",,Hrana,KG ,10.000 GR 
0007625,3850104075759,FANT ZA GRAH I VARIVA 60G (20) (PAL 145) PODRAVKA,"PODRAVKA, KOPRIVNICA",Hrana,KG ,60.000 GR 
0007633,3850104075537,"FANT ZA GULAŠ I PAPRIKAŠ 65G (22) (PAL 145), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,65.000 GR 
0007684,3850104075513,"FANT ZA PUNJENU PAPRIKU 60G (22), (PAL 145) PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,60.000 GR 
0007749,3850104050404,"FEFERON LJUTI 310G/160G(12) (PAL 91), PODRAVKA","PODRAVKA, KOPRIVNICA",Hrana,KG ,160.000 GR 
0007803,2000000078038,MLADI LUK,,Hrana,KG ,1 KG 
0007838,8000500003787,"FERERO ROCHER DESERT 200G (20), FERRERO",FERRERO,Hrana,KG ,200.000 GR 
0008176,90020841,"BRAVO MULTIVITAMIN NEKTAR 2L (6), RAUCH",,Piće,L  ,2.000 L  
0008290,40358802,KNOPPERS KEKS 25G(24),STORCK,Hrana,KG ,25.000 GR 
0008699,3850102311163,PETIT BEURRE 200G KRAŠ  (15) (PAL-120) (KEKS SA MASLACEM),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,200.000 GR 
0008702,3850102311439,PETIT BEURRE 480G KRAŠ (12) (PAL-48)(KEKS SA MASLACEM),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,480.000 GR 
0008710,3850102311446,PETIT BEURRE 960G KRAŠ (6) (PAL-66)(KEKS S MASLACEM),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,960.000 GR 
0008966,3850102311507,"SPORT KEKS 1KG (6), KRAŠ (PAL-36)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,1.000 KG 
0008974,3850102310111,"SPORT KEKS 300G (16), KRAŠ (PAL-36)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,300.000 GR 
0009156,3850102320080,"NAPOLITANKE ČOKOLADNE CHOCOLATE COATED 250G (12), KRAŠ (PAL-104)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,250.000 GR 
0009164,3850102320073,"NAPOLITANKE ČOKOLADNE CHOCOLATE COATED 500G (12), KRAŠ (PAL-56)","JOSIP KRAŠ, ZAGREB",Hrana,KG ,500.000 GR 
0009180,80052357,"KINDER DUPLO 26G (24), FERRERO",FERRERO,Hrana,KG ,26.000 GR 
0009199,40084107,"KINDER JAJE 20G (72), FERRERO",FERRERO,Hrana,KG ,20.000 GR 
0009202,40084794,"KINDER MILCH SCHNITTE 28G,DUKAT","DUKAT, ZAGREB",Hrana,KG ,28.000 GR 
0009210,4008400290126,"KINDER PINGUI 30G, FERRERO",FERRERO,Hrana,KG ,30.000 GR 
0009326,3850104019784,"LINO LADA 400G (12), PODRAVKA (PAL 88)","PODRAVKA, KOPRIVNICA",Hrana,KG ,400.000 GR 
0009474,38500633,"LIZLI LIZALICA 15G (25), KRAŠ","JOSIP KRAŠ, ZAGREB",Hrana,KG ,15.000 GR 
0009733,80135876,NUTELA KREMA STAKLENKA 400G,FERRERO,Hrana,KG ,400.000 GR 
0009741,80135463,"NUTELLA KREMA ČAŠA 200G,",FERRERO,Hrana,KG ,200.000 GR 
0009768,8000500023976,"RAFAELO DESERT 150G (12), FERRERO",FERRERO,Hrana,KG ,150.000 GR 
0009830,2000000098302,BROKULA,,Hrana,KG ,1 KG 
0010081,3850102117215,DORINA LEDENA 100G (24) (PAL-170),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,100.000 GR 
0010170,80177609,"KINDER ČOKOLADA 50G (20), FERRERO",FERRERO,Hrana,KG ,50.000 GR 
0010308,4014400901191,"MERCI GROSSE ČOKOLADNI DESERT 250G, STORCK (10)",STORCK,Hrana,KG ,250.000 GR 
0010316,4014400900217,"MERCI ČOKOLADNI DESERT 400G, STORCK (8)",STORCK,Hrana,KG ,400.000 GR 
0010375,7622200007769,MILKA MLIJEČNA ČOKOLADA S JAGODAMA 300G (16),,Hrana,KG ,300.000 GR 
0010383,7622200007332,MILKA ČOKOLADA S JOGURTOM I JAGODAMA 100G (22) MONDELEZ,,Hrana,KG ,100.000 GR 
0010502,3850102111961,DORINA MLIJEČNA 80G KRAŠ (30) (PAL-176),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,80.000 GR 
0010545,3850102110711,DORINA PUNCH 100G (21) (PAL-170),"JOSIP KRAŠ, ZAGREB",Hrana,KG ,100.000 GR 
0010677,7614500010013,"TOBLERONE MLIJEČNA ČOKOLADA 100G (20),MONDELEZ",,Hrana,KG ,100.000 GR 
